Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
DRD1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0470787042030705	0.6287	GTEX	0.8906257311761046
DRD2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0858753101067846	0.0478	GTEX	0.23863311403508772
DRD4	292	1905	Two-sample Kolmogorov-Smirnov test	0.132750871894438	3e-04	GTEX	0.007782905982905983
DRD5	292	1905	Two-sample Kolmogorov-Smirnov test	0.086921583432208	0.0436	GTEX	0.22641665240946676
DRG1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0471362312587639	0.6271	GTEX	0.8899513130211174
DRG2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0638118865278827	0.2539	GTEX	0.5877751112241006
DROSHA	292	1905	Two-sample Kolmogorov-Smirnov test	0.0578092978103764	0.3659	GTEX	0.7026329396878954
DRP2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0773487218207313	0.0967	GTEX	0.35513216374269
DSC2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0463488296839607	0.6482	GTEX	0.9017754139641359
DSC3	292	1905	Two-sample Kolmogorov-Smirnov test	0.0477870060762953	0.6097	GTEX	0.8791651939825811
DSCAM	292	1905	Two-sample Kolmogorov-Smirnov test	0.0707546830618776	0.1584	GTEX	0.4598725968436155
DSCAML1	292	1905	Two-sample Kolmogorov-Smirnov test	0.102301082227735	0.0100	GTEX	0.09128822055137845
DSCC1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0635008808830403	0.2590	GTEX	0.593695154185022
DSCR3	292	1905	Two-sample Kolmogorov-Smirnov test	0.0593589328731169	0.3343	GTEX	0.6736689426582698
DSCR8	292	1905	Two-sample Kolmogorov-Smirnov test	0.0202746916909359	0.9999	GTEX	1
DSE	292	1905	Two-sample Kolmogorov-Smirnov test	0.0272678243986625	0.9918	GTEX	1
DSEL	292	1905	Two-sample Kolmogorov-Smirnov test	0.0372487685614641	0.8738	GTEX	1
DSG1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0818520116492288	0.0672	GTEX	0.2885749587361471
DSG2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0416585769244598	0.7718	GTEX	0.9646573056070278
DSG3	292	1905	Two-sample Kolmogorov-Smirnov test	0.0471308380972927	0.6273	GTEX	0.8899577471371816
DSN1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0740858591306224	0.1241	GTEX	0.4064944604316547
DSP	292	1905	Two-sample Kolmogorov-Smirnov test	0.0501240427138388	0.5481	GTEX	0.8401647336082823
DST	292	1905	Two-sample Kolmogorov-Smirnov test	0.0566263977276813	0.3913	GTEX	0.7243703598292335
DSTN	292	1905	Two-sample Kolmogorov-Smirnov test	0.0662567863948513	0.2163	GTEX	0.5396979860254829
DSTYK	292	1905	Two-sample Kolmogorov-Smirnov test	0.0454301945133571	0.6729	GTEX	0.9138594183445191
DTD1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0780084852407148	0.0918	GTEX	0.34492708892098206
DTD2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0419983460971489	0.7632	GTEX	0.9612553106212425
DTHD1	292	1905	Two-sample Kolmogorov-Smirnov test	0.034922518246863	0.9170	GTEX	1
DTL	292	1905	Two-sample Kolmogorov-Smirnov test	0.0508107719411786	0.5304	GTEX	0.8286842637852672
DTNA	292	1905	Two-sample Kolmogorov-Smirnov test	0.0511541365548484	0.5216	GTEX	0.8228132698137721
DTNB	292	1905	Two-sample Kolmogorov-Smirnov test	0.0790331859202531	0.0846	GTEX	0.330417156337122
DTNBP1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0798799122712401	0.0790	GTEX	0.3169746640229125
DTWD1	292	1905	Two-sample Kolmogorov-Smirnov test	0.03740337252364	0.8706	GTEX	1
DTWD2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0591108474454392	0.3392	GTEX	0.6780553751645458
DTX1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0739366483299177	0.1255	GTEX	0.4085420968030005
DTX2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0347769028871391	0.9194	GTEX	1
DTX3	292	1905	Two-sample Kolmogorov-Smirnov test	0.0334861395750189	0.9390	GTEX	1
DTX3L	292	1905	Two-sample Kolmogorov-Smirnov test	0.0547729479020602	0.4332	GTEX	0.7600615028901734
DTX4	292	1905	Two-sample Kolmogorov-Smirnov test	0.0426077733434006	0.7475	GTEX	0.9525237895326057
DTYMK	292	1905	Two-sample Kolmogorov-Smirnov test	0.0522165893646856	0.4948	GTEX	0.8038097565325961
DUOX1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0711214180419229	0.1543	GTEX	0.45346559226430294
DUOX2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0741200158199403	0.1238	GTEX	0.4063130622526089
DUOXA1	292	1905	Two-sample Kolmogorov-Smirnov test	0.054372056232697	0.4426	GTEX	0.7657101928374656
DUOXA2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0883435803401287	0.0384	GTEX	0.21070828562820126
DUS1L	292	1905	Two-sample Kolmogorov-Smirnov test	0.0704095207277173	0.1624	GTEX	0.46562166246851383
DUS2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0641067126883112	0.2491	GTEX	0.5816911398897294
DUS3L	292	1905	Two-sample Kolmogorov-Smirnov test	0.15709560277568	0.0000	GTEX	0
DUS4L	292	1905	Two-sample Kolmogorov-Smirnov test	0.0343418545284579	0.9263	GTEX	1
DUSP1	292	1905	Two-sample Kolmogorov-Smirnov test	0.040984431740553	0.7887	GTEX	0.9718406224627875
DUSP2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0618092259015568	0.2881	GTEX	0.6250747200381225
DUSP3	292	1905	Two-sample Kolmogorov-Smirnov test	0.0952971631970661	0.0201	GTEX	0.14193920124079099
DUSP4	292	1905	Two-sample Kolmogorov-Smirnov test	0.0982022795095818	0.0151	GTEX	0.11961774684645499
DUSP5	292	1905	Two-sample Kolmogorov-Smirnov test	0.0631898752381979	0.2642	GTEX	0.5996523429710867
DUSP6	292	1905	Two-sample Kolmogorov-Smirnov test	0.0562794376730306	0.3990	GTEX	0.7304571773220748
DUSP7	292	1905	Two-sample Kolmogorov-Smirnov test	0.0421637363822673	0.7590	GTEX	0.9588850904553962
DUSP8	292	1905	Two-sample Kolmogorov-Smirnov test	0.0489033905008449	0.5801	GTEX	0.8599123046875001
DUSP9	292	1905	Two-sample Kolmogorov-Smirnov test	0.0304497896667027	0.9730	GTEX	1
DUSP10	292	1905	Two-sample Kolmogorov-Smirnov test	0.0585913062237083	0.3497	GTEX	0.6877685097192224
DUSP11	292	1905	Two-sample Kolmogorov-Smirnov test	0.0543127314565131	0.4440	GTEX	0.7671209328782708
DUSP12	292	1905	Two-sample Kolmogorov-Smirnov test	0.0514022219825262	0.5153	GTEX	0.818333065922567
DUSP13	292	1905	Two-sample Kolmogorov-Smirnov test	0.0687268543486858	0.1828	GTEX	0.49371994661130053
DUSP14	292	1905	Two-sample Kolmogorov-Smirnov test	0.0518588429870924	0.5038	GTEX	0.8099581214689267
DUSP15	292	1905	Two-sample Kolmogorov-Smirnov test	0.0517761478445332	0.5059	GTEX	0.8110432042253521
DUSP16	292	1905	Two-sample Kolmogorov-Smirnov test	0.0504260597562291	0.5403	GTEX	0.8348840658408281
DUSP18	292	1905	Two-sample Kolmogorov-Smirnov test	0.0506094272462518	0.5356	GTEX	0.8317988234291073
DUSP19	292	1905	Two-sample Kolmogorov-Smirnov test	0.0527325351454356	0.4821	GTEX	0.7942112347354138
DUSP22	292	1905	Two-sample Kolmogorov-Smirnov test	0.0468593823032395	0.6345	GTEX	0.8944663520309478
DUSP23	292	1905	Two-sample Kolmogorov-Smirnov test	0.0396756912235286	0.8203	GTEX	0.9831723330042779
DUSP26	292	1905	Two-sample Kolmogorov-Smirnov test	0.0659511739114803	0.2207	GTEX	0.5454455692766997
DUSP27	292	1905	Two-sample Kolmogorov-Smirnov test	0.0824326753676339	0.0641	GTEX	0.28129860240963855
DUSP28	292	1905	Two-sample Kolmogorov-Smirnov test	0.0901484917125086	0.0326	GTEX	0.19102676962676962
DUT	292	1905	Two-sample Kolmogorov-Smirnov test	0.058104123970805	0.3597	GTEX	0.6974189715745769
DVL1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0680257433574228	0.1919	GTEX	0.5064313577742355
DVL2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0424405853377917	0.7518	GTEX	0.9549962753714166
DVL3	292	1905	Two-sample Kolmogorov-Smirnov test	0.0619800093481466	0.2851	GTEX	0.6217508322356605
DXO	292	1905	Two-sample Kolmogorov-Smirnov test	0.059290619494481	0.3356	GTEX	0.6742357639271924
DYDC1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0379912271240067	0.8582	GTEX	0.9972105497865835
DYDC2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0474364505806637	0.6191	GTEX	0.8854982486452524
DYM	292	1905	Two-sample Kolmogorov-Smirnov test	0.0857027289397044	0.0485	GTEX	0.24054520697167756
DYNC1H1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0471721856685723	0.6262	GTEX	0.8895058419780048
DYNC1I1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0392118793370007	0.8311	GTEX	0.9875964274072626
DYNC1I2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0589238845144357	0.3430	GTEX	0.6807446173941439
DYNC1LI1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0949520008629059	0.0208	GTEX	0.14463902252768232
DYNC1LI2	292	1905	Two-sample Kolmogorov-Smirnov test	0.10812569661669	0.0054	GTEX	0.06081929499072357
DYNC2H1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0630532484809262	0.2665	GTEX	0.6017230349615671
DYNC2LI1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0727321756013375	0.1373	GTEX	0.4277296613068765
DYNLL1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0285280264624456	0.9861	GTEX	1
DYNLL2	292	1905	Two-sample Kolmogorov-Smirnov test	0.079453852515011	0.0818	GTEX	0.3244210801393728
DYNLRB1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0570740301297954	0.3816	GTEX	0.7166115900185606
DYNLRB2	292	1905	Two-sample Kolmogorov-Smirnov test	0.075180670909287	0.1143	GTEX	0.38879932760552854
DYNLT1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0396235573293064	0.8215	GTEX	0.983704254060096
DYNLT3	292	1905	Two-sample Kolmogorov-Smirnov test	0.0883723438679754	0.0383	GTEX	0.21028628278564968
DYRK1A	292	1905	Two-sample Kolmogorov-Smirnov test	0.05606191349369	0.4038	GTEX	0.7342257987220447
DYRK1B	292	1905	Two-sample Kolmogorov-Smirnov test	0.0887588537734153	0.0370	GTEX	0.2061315386968492
DYRK2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0568025743357423	0.3875	GTEX	0.7208529111338101
DYRK3	292	1905	Two-sample Kolmogorov-Smirnov test	0.043443713371445	0.7257	GTEX	0.9414721937321937
DYRK4	292	1905	Two-sample Kolmogorov-Smirnov test	0.0738863121561859	0.1260	GTEX	0.40933143061006066
DYSF	292	1905	Two-sample Kolmogorov-Smirnov test	0.0537338654585985	0.4577	GTEX	0.777505120790971
DYX1C1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0566210045662101	0.3914	GTEX	0.7244082113821139
DZANK1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0419767734512638	0.7637	GTEX	0.9612553106212425
DZIP1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0527846690396577	0.4808	GTEX	0.7932176465259534
DZIP1L	292	1905	Two-sample Kolmogorov-Smirnov test	0.106969762341351	0.0061	GTEX	0.06628472553699284
DZIP3	292	1905	Two-sample Kolmogorov-Smirnov test	0.0667259914428505	0.2096	GTEX	0.5296566116275844
E2F1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0642810915758818	0.2463	GTEX	0.5775966520731393
E2F2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0448423399129903	0.6886	GTEX	0.92333660188457
E2F3	292	1905	Two-sample Kolmogorov-Smirnov test	0.0356164383561644	0.9050	GTEX	1
E2F4	292	1905	Two-sample Kolmogorov-Smirnov test	0.0402311868550678	0.8071	GTEX	0.9782965191347754
E2F5	292	1905	Two-sample Kolmogorov-Smirnov test	0.0557904576996368	0.4099	GTEX	0.740144636129288
E2F6	292	1905	Two-sample Kolmogorov-Smirnov test	0.07777298385647	0.0935	GTEX	0.34843912420708
E2F7	292	1905	Two-sample Kolmogorov-Smirnov test	0.0259698702045806	0.9956	GTEX	1
E2F8	292	1905	Two-sample Kolmogorov-Smirnov test	0.0628393197425664	0.2701	GTEX	0.6062436775942814
E4F1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0343346636464963	0.9265	GTEX	1
EAF1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0821306583252436	0.0657	GTEX	0.28522727056019065
EAF2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0881961672599145	0.0389	GTEX	0.2117927653213752
EAPP	292	1905	Two-sample Kolmogorov-Smirnov test	0.0981070003235897	0.0153	GTEX	0.12062493506493506
EARS2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0660087009671736	0.2199	GTEX	0.5444288743882545
EBAG9	292	1905	Two-sample Kolmogorov-Smirnov test	0.0653111854168914	0.2303	GTEX	0.5569278449077147
EBF1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0744795599180239	0.1205	GTEX	0.40031849689894194
EBF2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0475245388846942	0.6167	GTEX	0.8843575118110237
EBF3	292	1905	Two-sample Kolmogorov-Smirnov test	0.0764013231222809	0.1041	GTEX	0.36884614785992215
EBF4	292	1905	Two-sample Kolmogorov-Smirnov test	0.0365728256570669	0.8872	GTEX	1
EBI3	292	1905	Two-sample Kolmogorov-Smirnov test	0.1066228022867	0.0063	GTEX	0.0675312536786345
