Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
PADI3	41	292	Two-sample Kolmogorov-Smirnov test	0.0957233544938189	0.8968	Colon	1
PADI4	41	292	Two-sample Kolmogorov-Smirnov test	0.164884731039091	0.2824	Colon	1
PAEP	41	292	Two-sample Kolmogorov-Smirnov test	0.0359171399933177	1.0000	Colon	1
PAF1	41	292	Two-sample Kolmogorov-Smirnov test	0.173989308386234	0.2265	Colon	1
PAFAH1B1	41	292	Two-sample Kolmogorov-Smirnov test	0.116187771466756	0.7168	Colon	1
PAFAH1B2	41	292	Two-sample Kolmogorov-Smirnov test	0.0956398262612764	0.8974	Colon	1
PAFAH1B3	41	292	Two-sample Kolmogorov-Smirnov test	0.143417975275643	0.4504	Colon	1
PAFAH2	41	292	Two-sample Kolmogorov-Smirnov test	0.116605412629469	0.7126	Colon	1
PAG1	41	292	Two-sample Kolmogorov-Smirnov test	0.0943869027731373	0.9059	Colon	1
PAGE1	41	292	Two-sample Kolmogorov-Smirnov test	0.0304042766455063	1.0000	Colon	1
PAGE2	41	292	Two-sample Kolmogorov-Smirnov test	0.144336785833612	0.4422	Colon	1
PAGE2B	41	292	Two-sample Kolmogorov-Smirnov test	0.13656866020715	0.5138	Colon	1
PAGE4	41	292	Two-sample Kolmogorov-Smirnov test	0.0920481122619446	0.9209	Colon	1
PAGE5	41	292	Two-sample Kolmogorov-Smirnov test	0.211744069495489	0.0796	Colon	0.8719090365050868
PAGR1	41	292	Two-sample Kolmogorov-Smirnov test	0.0810223855663215	0.9723	Colon	1
PAH	41	292	Two-sample Kolmogorov-Smirnov test	0.133645172068159	0.5420	Colon	1
PAICS	41	292	Two-sample Kolmogorov-Smirnov test	0.108336117607751	0.7927	Colon	1
PAIP1	41	292	Two-sample Kolmogorov-Smirnov test	0.127798195790177	0.5998	Colon	1
PAIP2	41	292	Two-sample Kolmogorov-Smirnov test	0.0918810557968594	0.9219	Colon	1
PAIP2B	41	292	Two-sample Kolmogorov-Smirnov test	0.161042432342132	0.3087	Colon	1
PAK1	41	292	Two-sample Kolmogorov-Smirnov test	0.127631139325092	0.6015	Colon	1
PAK1IP1	41	292	Two-sample Kolmogorov-Smirnov test	0.112011359839626	0.7578	Colon	1
PAK2	41	292	Two-sample Kolmogorov-Smirnov test	0.132559305045105	0.5526	Colon	1
PAK3	41	292	Two-sample Kolmogorov-Smirnov test	0.0948880721683928	0.9025	Colon	1
PAK4	41	292	Two-sample Kolmogorov-Smirnov test	0.0785165385900434	0.9796	Colon	1
PAK6	41	292	Two-sample Kolmogorov-Smirnov test	0.194871366521884	0.1303	Colon	0.9626870588235295
PAK7	41	292	Two-sample Kolmogorov-Smirnov test	0.0912128299365186	0.9259	Colon	1
PALB2	41	292	Two-sample Kolmogorov-Smirnov test	0.153357834948212	0.3663	Colon	1
PALD1	41	292	Two-sample Kolmogorov-Smirnov test	0.202555963915804	0.1046	Colon	0.9247452427184466
PALLD	41	292	Two-sample Kolmogorov-Smirnov test	0.0655696625459405	0.9978	Colon	1
PALM	41	292	Two-sample Kolmogorov-Smirnov test	0.178165720013365	0.2039	Colon	1
PALM2	41	292	Two-sample Kolmogorov-Smirnov test	0.244069495489476	0.0276	Colon	0.68295
PALM2-AKAP2	41	292	Two-sample Kolmogorov-Smirnov test	0.138072168392917	0.4995	Colon	1
PALM3	41	292	Two-sample Kolmogorov-Smirnov test	0.22494153023722	0.0526	Colon	0.7935871499176278
PALMD	41	292	Two-sample Kolmogorov-Smirnov test	0.12821583695289	0.5957	Colon	1
PAM	41	292	Two-sample Kolmogorov-Smirnov test	0.147009689274975	0.4188	Colon	1
PAM16	41	292	Two-sample Kolmogorov-Smirnov test	0.197043100567992	0.1226	Colon	0.9547293721028235
PAMR1	41	292	Two-sample Kolmogorov-Smirnov test	0.0801871032408955	0.9749	Colon	1
PAN2	41	292	Two-sample Kolmogorov-Smirnov test	0.135482793184096	0.5242	Colon	1
PAN3	41	292	Two-sample Kolmogorov-Smirnov test	0.101319746074173	0.8542	Colon	1
PANK1	41	292	Two-sample Kolmogorov-Smirnov test	0.157701303040428	0.3330	Colon	1
PANK2	41	292	Two-sample Kolmogorov-Smirnov test	0.114350150350819	0.7350	Colon	1
PANK3	41	292	Two-sample Kolmogorov-Smirnov test	0.197460741730705	0.1212	Colon	0.9538122519413287
PANK4	41	292	Two-sample Kolmogorov-Smirnov test	0.0938022051453391	0.9098	Colon	1
PANX1	41	292	Two-sample Kolmogorov-Smirnov test	0.136819244904778	0.5114	Colon	1
PANX2	41	292	Two-sample Kolmogorov-Smirnov test	0.0856164383561644	0.9548	Colon	1
PAOX	41	292	Two-sample Kolmogorov-Smirnov test	0.152940193785499	0.3697	Colon	1
PAPD4	41	292	Two-sample Kolmogorov-Smirnov test	0.0742565987303708	0.9888	Colon	1
PAPD5	41	292	Two-sample Kolmogorov-Smirnov test	0.102155028399599	0.8473	Colon	1
PAPD7	41	292	Two-sample Kolmogorov-Smirnov test	0.172318743735383	0.2361	Colon	1
PAPL	41	292	Two-sample Kolmogorov-Smirnov test	0.127631139325092	0.6015	Colon	1
PAPLN	41	292	Two-sample Kolmogorov-Smirnov test	0.184096224523889	0.1747	Colon	1
PAPOLA	41	292	Two-sample Kolmogorov-Smirnov test	0.263782158369529	0.0134	Colon	0.5521285067873304
PAPOLG	41	292	Two-sample Kolmogorov-Smirnov test	0.179418643501504	0.1974	Colon	1
PAPPA	41	292	Two-sample Kolmogorov-Smirnov test	0.304460407617775	0.0025	Colon	0.26625730994152047
PAPPA-AS1	41	292	Two-sample Kolmogorov-Smirnov test	0.106164383561644	0.8125	Colon	1
PAPPA2	41	292	Two-sample Kolmogorov-Smirnov test	0.167557634480454	0.2650	Colon	1
PAPSS1	41	292	Two-sample Kolmogorov-Smirnov test	0.0938022051453391	0.9098	Colon	1
PAPSS2	41	292	Two-sample Kolmogorov-Smirnov test	0.140578015369195	0.4762	Colon	1
PAQR3	41	292	Two-sample Kolmogorov-Smirnov test	0.0983127297026394	0.8779	Colon	1
PAQR4	41	292	Two-sample Kolmogorov-Smirnov test	0.122619445372536	0.6521	Colon	1
PAQR5	41	292	Two-sample Kolmogorov-Smirnov test	0.0982292014700968	0.8785	Colon	1
PAQR6	41	292	Two-sample Kolmogorov-Smirnov test	0.151603742064818	0.3804	Colon	1
PAQR7	41	292	Two-sample Kolmogorov-Smirnov test	0.112345472769796	0.7546	Colon	1
PAQR8	41	292	Two-sample Kolmogorov-Smirnov test	0.192281991313064	0.1401	Colon	0.9683116508538899
PAQR9	41	292	Two-sample Kolmogorov-Smirnov test	0.152439024390244	0.3737	Colon	1
PARD3	41	292	Two-sample Kolmogorov-Smirnov test	0.156114266622118	0.3449	Colon	1
PARD3B	41	292	Two-sample Kolmogorov-Smirnov test	0.197544269963248	0.1209	Colon	0.9538122519413287
PARD6A	41	292	Two-sample Kolmogorov-Smirnov test	0.210658202472436	0.0823	Colon	0.8779280092592592
PARD6B	41	292	Two-sample Kolmogorov-Smirnov test	0.135482793184096	0.5242	Colon	1
PARD6G	41	292	Two-sample Kolmogorov-Smirnov test	0.0924657534246575	0.9183	Colon	1
PARG	41	292	Two-sample Kolmogorov-Smirnov test	0.262028065486134	0.0144	Colon	0.5639845161290322
PARK2	41	292	Two-sample Kolmogorov-Smirnov test	0.152606080855329	0.3723	Colon	1
PARK7	41	292	Two-sample Kolmogorov-Smirnov test	0.118610090210491	0.6925	Colon	1
PARL	41	292	Two-sample Kolmogorov-Smirnov test	0.124373538255931	0.6343	Colon	1
PARM1	41	292	Two-sample Kolmogorov-Smirnov test	0.171399933177414	0.2415	Colon	1
PARN	41	292	Two-sample Kolmogorov-Smirnov test	0.146508519879719	0.4231	Colon	1
PARP1	41	292	Two-sample Kolmogorov-Smirnov test	0.0909622452388908	0.9274	Colon	1
PARP2	41	292	Two-sample Kolmogorov-Smirnov test	0.0706648847310391	0.9939	Colon	1
PARP3	41	292	Two-sample Kolmogorov-Smirnov test	0.133394587370531	0.5444	Colon	1
PARP4	41	292	Two-sample Kolmogorov-Smirnov test	0.104994988306047	0.8229	Colon	1
PARP6	41	292	Two-sample Kolmogorov-Smirnov test	0.125125292348814	0.6267	Colon	1
PARP8	41	292	Two-sample Kolmogorov-Smirnov test	0.232208486468426	0.0414	Colon	0.7494799204771372
PARP9	41	292	Two-sample Kolmogorov-Smirnov test	0.102155028399599	0.8473	Colon	1
PARP10	41	292	Two-sample Kolmogorov-Smirnov test	0.107500835282325	0.8004	Colon	1
