Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
C12orf68	15	97	Two-sample Kolmogorov-Smirnov test	0.29553264604811	0.2065	Liver	1
C12orf71	15	97	Two-sample Kolmogorov-Smirnov test	0.135395189003436	0.9711	Liver	1
C12orf73	15	97	Two-sample Kolmogorov-Smirnov test	0.223367697594502	0.5359	Liver	1
C12orf74	15	97	Two-sample Kolmogorov-Smirnov test	0.20893470790378	0.6220	Liver	1
C12orf75	15	97	Two-sample Kolmogorov-Smirnov test	0.245360824742268	0.4147	Liver	1
C12orf76	15	97	Two-sample Kolmogorov-Smirnov test	0.326460481099656	0.1254	Liver	1
C12orf79	15	97	Two-sample Kolmogorov-Smirnov test	0.237113402061856	0.4583	Liver	1
C13orf45	15	97	Two-sample Kolmogorov-Smirnov test	0.123711340206186	0.9886	Liver	1
C14orf1	15	97	Two-sample Kolmogorov-Smirnov test	0.294158075601375	0.2109	Liver	1
C14orf2	15	97	Two-sample Kolmogorov-Smirnov test	0.147079037800687	0.9414	Liver	1
C14orf23	15	97	Two-sample Kolmogorov-Smirnov test	0.0721649484536083	1.0000	Liver	1
C14orf28	15	97	Two-sample Kolmogorov-Smirnov test	0.212371134020619	0.6012	Liver	1
C14orf37	15	97	Two-sample Kolmogorov-Smirnov test	0.294845360824742	0.2087	Liver	1
C14orf39	15	97	Two-sample Kolmogorov-Smirnov test	0.117525773195876	0.9939	Liver	1
C14orf64	15	97	Two-sample Kolmogorov-Smirnov test	0.214432989690722	0.5888	Liver	1
C14orf79	15	97	Two-sample Kolmogorov-Smirnov test	0.386941580756014	0.0409	Liver	1
C14orf80	15	97	Two-sample Kolmogorov-Smirnov test	0.14639175257732	0.9435	Liver	1
C14orf93	15	97	Two-sample Kolmogorov-Smirnov test	0.300343642611684	0.1918	Liver	1
C14orf105	15	97	Two-sample Kolmogorov-Smirnov test	0.288659793814433	0.2292	Liver	1
C14orf119	15	97	Two-sample Kolmogorov-Smirnov test	0.252920962199313	0.3769	Liver	1
C14orf132	15	97	Two-sample Kolmogorov-Smirnov test	0.201374570446735	0.6679	Liver	1
C14orf142	15	97	Two-sample Kolmogorov-Smirnov test	0.175945017182131	0.8161	Liver	1
C14orf144	15	97	Two-sample Kolmogorov-Smirnov test	0.393127147766323	0.0361	Liver	1
C14orf159	15	97	Two-sample Kolmogorov-Smirnov test	0.237800687285223	0.4546	Liver	1
C14orf164	15	97	Two-sample Kolmogorov-Smirnov test	0.173883161512027	0.8270	Liver	1
C14orf166	15	97	Two-sample Kolmogorov-Smirnov test	0.127835051546392	0.9837	Liver	1
C14orf166B	15	97	Two-sample Kolmogorov-Smirnov test	0.102405498281787	0.9992	Liver	1
C14orf178	15	97	Two-sample Kolmogorov-Smirnov test	0.112027491408935	0.9968	Liver	1
C14orf180	15	97	Two-sample Kolmogorov-Smirnov test	0.276288659793814	0.2745	Liver	1
C14orf182	15	97	Two-sample Kolmogorov-Smirnov test	0.212371134020619	0.6012	Liver	1
C15orf26	15	97	Two-sample Kolmogorov-Smirnov test	0.156013745704467	0.9099	Liver	1
C15orf27	15	97	Two-sample Kolmogorov-Smirnov test	0.261168384879725	0.3383	Liver	1
C15orf37	15	97	Two-sample Kolmogorov-Smirnov test	0.156013745704467	0.9099	Liver	1
C15ORF37	15	97	Two-sample Kolmogorov-Smirnov test	0.17319587628866	0.8306	Liver	1
C15orf38	15	97	Two-sample Kolmogorov-Smirnov test	0.388316151202749	0.0398	Liver	1
C15orf38-AP3S2	15	97	Two-sample Kolmogorov-Smirnov test	0.207560137457045	0.6303	Liver	1
