Name	Mean(log(AA))	Mean(log(EA))	logFC	M-W U test pval	Adj pval
RP11-650K20.3	2.460935972900351	2.606563767409655	-0.14562779450930385	0.03691988437526794	0.0634864445512586
AMPD1	1.9346484565778967	2.0803128642437487	-0.14566440766585198	0.02958136570344172	0.05226385644073347
FKBP10	10.531232408630991	10.676897905652734	-0.14566549702174214	0.45611861313581714	0.543001188549451
MRGPRF	5.631447150958806	5.777137440570896	-0.14569028961208996	0.1264388036397759	0.18508990369645514
COLCA1	5.510904425570778	5.65665363078797	-0.14574920521719203	0.14285749275555315	0.2057790627217798
CNOT7	9.803497783097267	9.949305333911234	-0.14580755081396646	1.9662457106939257E-8	1.4754539300847868E-7
CEP44	7.015450894919438	7.161271017136666	-0.14582012221722795	5.368538882666307E-6	2.3463362162495508E-5
KCNB1	1.9281643796109469	2.074006792722699	-0.14584241311175195	0.1658844089374879	0.23373979540189785
TRIB2	8.94165867671438	9.087525136906214	-0.14586646019183291	0.0026078378018158377	0.00611405021198121
ABHD13	6.79141374859503	6.937282714293325	-0.14586896569829477	3.4004557392108836E-8	2.4125087620766894E-7
SLC2A9	7.1389461106853505	7.284816044294404	-0.14586993360905343	0.02031496486793649	0.03757247285212342
TSPAN12	8.295426939498142	8.441312156015169	-0.14588521651702635	0.25234919705777215	0.33331763684480314
LYPD2	1.2609003804759866	1.4067868851139171	-0.14588650463793051	0.07037199947835115	0.11152976954692898
PLEKHA5	8.533856135295844	8.679768299421546	-0.1459121641257024	8.149860723616342E-5	2.7269017728918026E-4
PDS5A	9.07710711948777	9.223029546918756	-0.14592242743098538	7.177058947149817E-11	9.363080053402038E-10
DEPDC7	5.449435853498448	5.595408064346788	-0.1459722108483401	0.1255282186327128	0.18387516429976397
PDK2	9.610471313698092	9.756470788100575	-0.1459994744024833	0.0018704443967365592	0.004549824142295474
CD207	4.055801333853898	4.201847882104384	-0.14604654825048602	0.1360514713523968	0.1973217644556702
CRYAB	11.312982220814225	11.459041982464907	-0.14605976165068135	0.16120752536459404	0.22816876770982528
SGSM1	4.3689532857421405	4.515022749193692	-0.14606946345155158	0.03524003742139814	0.06084485793690775
ZNF429	7.051684726999316	7.197777452438594	-0.14609272543927787	1.4566323337250608E-4	4.5944212091792184E-4
SDCCAG8	9.431883395816284	9.578083635975027	-0.146200240158743	6.475823671747705E-7	3.4738645275366475E-6
ATXN1L	7.714261998765765	7.860595703290334	-0.14633370452456962	5.115139416700387E-6	2.2431235024547908E-5
GMCL1	7.91740001025757	8.063753032938337	-0.146353022680767	7.168979521132712E-9	5.910432550424126E-8
MLF1IP	7.886882643647045	8.033246264116421	-0.14636362046937634	0.11419177554495774	0.16943625682131094
IGF2R	9.475426000079855	9.621792433166034	-0.14636643308617892	1.3278527543181262E-5	5.296288734481321E-5
C2	9.000512325650874	9.146890237995946	-0.1463779123450717	0.07604645515392117	0.11925928194809371
SLC39A9	9.505784183742325	9.652199466159008	-0.1464152824166831	7.5057332872274785E-6	3.1686234266802695E-5
KBTBD8	3.781817557802755	3.928238112405255	-0.14642055460249992	0.007482120687197891	0.015601600865038699
CALCOCO1	10.375762381900074	10.522211450275073	-0.1464490683749986	1.1000866453492186E-4	3.574447454968773E-4
GPR75	3.8339287551855117	3.9803822612293818	-0.14645350604387009	0.005997157219169158	0.012805748302908749
ARF3	11.281995560689428	11.42845506838824	-0.14645950769881289	3.589802910486384E-8	2.5310681612767334E-7
XXbac-BPG181M17.5	2.8704979503962735	3.016989275682442	-0.14649132528616837	0.1578877684254305	0.2243117277918668
HSPA6	6.641503192073837	6.7879958726610194	-0.14649268058718246	0.05886213983295718	0.09556898374233898
EDN1	7.34441351593886	7.490911235031538	-0.14649771909267795	0.1350875857121282	0.19607994827363343
CACNA1C	5.39756794044234	5.544066194014479	-0.14649825357213953	0.022929579903617547	0.041813708741832656
CTD-2192J16.20	4.769275233951795	4.915831398481354	-0.14655616452955922	1.4175462262899785E-6	7.021036680226568E-6
RPS6KA6	4.167725315759438	4.314284651664327	-0.14655933590488868	0.03528988718575521	0.060919376817722644
GPC5	1.4233444602254863	1.5699232501156168	-0.1465787898901305	0.04034045205014103	0.06867454783484468
HSPA1L	4.9906590696433035	5.137264166247713	-0.1466050966044099	1.7625953724886845E-4	5.449980801997271E-4
SPTY2D1	7.6235444219589485	7.7701527175448675	-0.14660829558591892	1.6571154471844984E-5	6.45824663473659E-5
SNCAIP	4.86043680471292	5.007188097742332	-0.14675129302941148	0.03366619063018628	0.05853815770068287
ATP6V1C1	9.61302680541516	9.759816420868546	-0.1467896154533861	2.658956876899765E-8	1.9401010673917676E-7
TRHDE	2.46388992425827	2.6107084490449917	-0.14681852478672175	0.10467337381470265	0.1572475034160987
FPGT	7.579486676743895	7.726321506675313	-0.14683482993141794	4.628218154811847E-5	1.628145818725775E-4
USP53	7.7409665054448284	7.887809276484618	-0.1468427710397897	9.338705316208618E-4	0.0024443302848345984
IFT46	8.835224873531734	8.982103313475735	-0.1468784399440004	1.0764549685737812E-5	4.3828298429836135E-5
ELMOD2	8.167175745050915	8.314164168622641	-0.1469884235717256	1.710307899427388E-5	6.647060918559878E-5
RP11-287D1.3	1.4550446109253594	1.602101724977265	-0.1470571140519057	0.003434160357711935	0.007806156819102565
PRKCI	8.662130853710996	8.809277584679606	-0.14714673096860942	7.261714571882294E-7	3.853448303703972E-6
CPNE5	5.5715663168115395	5.718733853505646	-0.14716753669410654	0.014046244063237623	0.027234131468080867
CNOT8	9.738049376079882	9.88526165401192	-0.14721227793203795	2.60121324480167E-9	2.3698497055691855E-8
GOLIM4	8.922667452651533	9.069903904336648	-0.14723645168511545	0.004719678310495579	0.010360991006599022
G6PD	10.126838420699341	10.274127721514109	-0.14728930081476754	0.0034676000495283965	0.007876269905464101
RC3H1	6.581116725033724	6.728432002052192	-0.14731527701846758	8.959350594750504E-9	7.242241146542218E-8
TMEM255A	4.323786484307409	4.471226819713046	-0.14744033540563617	0.0350803994571145	0.060615202553412635
MAPK9	8.898228487890622	9.04567641479511	-0.14744792690448882	1.8156405046099167E-7	1.0938288081361497E-6
ZNF681	4.828214883735721	4.9757220914935845	-0.1475072077578634	0.03528201217168647	0.06091155613525017
ZKSCAN8	7.290468391162557	7.438085389609582	-0.1476169984470248	1.176121945389852E-6	5.94656659340366E-6
GALNTL6	1.7275757896383892	1.8752952819557707	-0.14771949231738146	0.03513267161638489	0.060699764299174806
SSR3	11.59145744894644	11.73917763021571	-0.14772018126927122	7.118928685434511E-7	3.7876111369889954E-6
TTC39B	6.7724885089595235	6.920306591869426	-0.14781808290990295	6.66695001695472E-4	0.0018076298006368821
ATXN3	7.996793994419978	8.14461496355952	-0.14782096913954312	1.3589113449952173E-5	5.408324609932889E-5
ZNF112	5.578468431990341	5.726296002581474	-0.14782757059113294	4.675159213557434E-4	0.0013149652447460693
DTX4	7.726412351916568	7.87426165069907	-0.14784929878250264	0.347157565866703	0.43381594548952895
PPP2R5A	9.456524757905381	9.604407158973817	-0.1478824010684363	2.658927566345781E-6	1.2419694495585887E-5
KIAA0319L	9.542668182449107	9.690558882420993	-0.1478906999718852	3.518878677333248E-7	2.0001816002369885E-6
OR52N4	1.7106507798670099	1.8585720776866923	-0.14792129781968244	0.03685173090049887	0.06337523353728852
SLC9B2	6.304014566031372	6.451936688881469	-0.14792212285009754	0.02669735163598752	0.047822579718167085
MAOB	8.125042262587472	8.272969861650832	-0.14792759906335995	0.2790428020366955	0.3626063154257794
MOB4	9.00567266997347	9.153644462763157	-0.1479717927896882	1.6620115284027293E-9	1.5814291512680514E-8
ELF2	8.666478732893465	8.814466232810256	-0.14798749991679117	4.663402219939883E-9	4.013699490999298E-8
IL12RB1	5.168499321709397	5.316554074732747	-0.14805475302335047	0.03638573351214336	0.062638905257884
ZNF383	6.288585298392938	6.436646599082575	-0.14806130068963697	3.59534276794804E-8	2.533993130412914E-7
EMR2	5.458932337975216	5.607004348198005	-0.1480720102227897	0.007208099880874008	0.015077816253147382
TRIP11	7.474933343949667	7.623083072952986	-0.14814972900331913	1.795966330022658E-4	5.536245565736738E-4
RNF41	9.125896243180847	9.274051425502856	-0.14815518232200908	1.1935341603930283E-10	1.4837299746810805E-9
AC112715.2	1.3460528067965993	1.4942161304578188	-0.14816332366121943	0.10818354532598973	0.16177344014097422
SHISA4	8.483564565390765	8.631732251198962	-0.14816768580819684	0.008607385107016419	0.017633036846904728
CLDN24	0.8983933478828832	1.0466213915942268	-0.14822804371134368	0.03619752624489814	0.062344368069991
KIF2A	8.00699969054365	8.155230624308443	-0.14823093376479335	1.598496617926104E-4	4.992594821757882E-4
MAST3	6.628561111897838	6.77683899621643	-0.1482778843185919	1.7152831600508733E-4	5.31813702942569E-4
IL4R	9.328878956097107	9.477161507846157	-0.14828255174905003	0.006584806530865905	0.013923429297588514
MYCBPAP	3.6089764830304336	3.757303966900356	-0.14832748386992245	0.010572762632155674	0.021161792840621953
EIF3C	13.286681680508941	13.43509383731976	-0.14841215681081898	1.09759967559242E-6	5.591464417311651E-6
SLC22A2	2.8033235197461925	2.951764334850239	-0.1484408151040464	0.8036634189792994	0.8490482689625091
APOOL	6.411950772034269	6.560398093458525	-0.1484473214242552	3.7560430610095175E-5	1.3502774620431372E-4
INTS6	8.228430488622871	8.376894900782554	-0.14846441215968298	9.316288621330493E-6	3.854344579092934E-5
TRAPPC6B	8.219844074355812	8.368319472762465	-0.14847539840665291	5.77361713993696E-10	6.0956008900018495E-9
NLRP3	5.039436498568815	5.187928078781448	-0.14849158021263342	0.013433570119377736	0.026199633648972726
PAXIP1-AS2	6.284503524950495	6.433009602549787	-0.14850607759929257	3.342495563216641E-4	9.696325134963598E-4
GFI1	4.307259018710126	4.4559158673818375	-0.14865684867171147	0.05596620295666621	0.09146235537031631
CYFIP2	8.857599841584635	9.006259324671959	-0.14865948308732335	0.04136320070700017	0.0701729493503388
NDFIP1	10.097712661716171	10.246451097766762	-0.148738436050591	8.942211338069939E-8	5.746490927626314E-7
DCAF5	8.871390182171359	9.02023128662412	-0.148841104452762	3.52880329401728E-8	2.4928846233763655E-7
CST7	7.409163935089389	7.558032259531458	-0.148868324442069	0.042138493780439434	0.07133540144351766
SEPT5	8.448879105927874	8.59774860612645	-0.14886950019857537	0.06698616602056762	0.1068892523957649
INPP5K	9.126636710434452	9.275513036848865	-0.14887632641441328	3.3162323268665084E-5	1.2052529063439004E-4
