Name	AveExpr	t	logFC	P.Value	Adj pval	B
IKZF4	4.351076334172187	-5.425259277131898	-0.20730122897378855	7.632873633266667e-8	4.6290341195155695e-7	7.478962442926068
C5orf54	4.392016359089877	-4.95646624102154	-0.20731798571594062	8.732941747909509e-7	4.188684095678904e-6	5.148713855584317
TMEM64	5.067584505562752	-2.282767668306059	-0.20739043616717634	0.022700678000423174	0.04009161634442464	-4.255836363253051
CDKL2	1.5320684859709222	-2.13905080317812	-0.20739196517477576	0.032727932218183035	0.055486976499492593	-4.568402293987218
GINM1	6.7674382493688015	-7.096549474232589	-0.20748391266166877	2.780838895609814e-12	4.629308772106575e-11	17.34662230278959
CMKLR1	4.602333750897264	-3.1130657570698483	-0.20748535197813212	0.0019161764007441097	0.0044218708325331636	-2.0591912708566342
PTGDR	2.0632161182261206	-2.642069993413993	-0.2075618706482043	0.008398007821064148	0.01660635379340068	-3.386790554691651
EDEM1	6.112231133877113	-5.1529965013464025	-0.20763421836840656	3.217972893834413e-7	1.6879528324456316e-6	6.1016412821822055
ZNF625-ZNF20	4.129338545066049	-4.304886448989779	-0.2076764522021799	1.8738358236883337e-5	6.65229980916412e-5	2.2403645096797113
MAGED2	9.312002878406075	-3.044342209610275	-0.20772400913432065	0.0024068330640312236	0.005421551485731187	-2.2661542721581807
TBX18	3.631926817587652	-2.591609966758814	-0.20777654279952262	0.009723633636724465	0.018921553135166788	-3.516371933727424
SWAP70	6.35361692179778	-5.2733806147595255	-0.20778087566904446	1.716880292775338e-7	9.58841579025589e-7	6.70248101501036
ASB14	1.852308411642567	-4.554953111277193	-0.20779606345731816	6.039824220637317e-6	2.402211808391501e-5	3.3106215894604496
ARHGEF6	5.714441494299085	-3.1659122252915957	-0.2078153171465429	0.001603430703989831	0.0037689313346751163	-1.8969783718955195
C2orf72	4.068663507812212	-1.4489373269599861	-0.2078220649950615	0.14773952159541887	0.20683976222972408	-5.788626187348312
MGEA5	7.314259169842216	-6.492615616524851	-0.20782445340408007	1.4645003131394593e-10	1.5987772828872005e-9	13.505991768684275
ZNF460	3.2420164295408864	-3.3906585934663616	-0.2078574605464114	7.307756223479997e-4	0.0018575797250269931	-1.177407638425339
ZNF98	2.7860430335901007	-1.4706098236678895	-0.20788184627858097	0.14178242262818727	0.19951641793421007	-5.757398502504958
ZIK1	3.6454592531468686	-2.28886376084542	-0.20789249074178784	0.022342133038567368	0.039535068684258545	-4.242133959790544
MAN1C1	5.211946862073117	-2.8887700215075744	-0.2079298608823743	0.003969971525082851	0.008492027415410958	-2.7179644985389846
SLC43A1	5.139442276046159	-2.931816513845254	-0.2079707026205373	0.0034640998797755827	0.00751855404724978	-2.5952689464778516
TMEM66	8.566754895607612	-4.812769096619529	-0.20805634058472222	1.773559128126198e-6	7.932234489546739e-6	4.474034203943017
ATL1	4.985863820192242	-3.4779945376904498	-0.20806662802375975	5.319312763383926e-4	0.0013946922552080057	-0.8848462994032253
BHLHB9	4.020969208649239	-4.299252730430123	-0.20809218677518437	1.921014517030261e-5	6.798584606326294e-5	2.216916564521309
BAG4	5.531170196415005	-3.6379210173178484	-0.20812993999028517	2.9212969900076495e-4	8.0769182908789e-4	-0.33042195642970373
KIF6	2.811126308857782	-2.5570816392318876	-0.20813043722849534	0.010735376943888156	0.020691362567688762	-3.6036245442018684
ALDH3A2	6.68241506313333	-3.5367662297469273	-0.20818976077045193	4.2792379873248253e-4	0.0011455752201258225	-0.6839114350582767
CRMP1	4.465497748584484	-2.7942079095577435	-0.20823591221057924	0.005324761296129497	0.01102108793330042	-2.981248658784627
ENAH	7.671820966754899	-3.778261266211318	-0.20830138609229287	1.694190091699771e-4	4.928848234830069e-4	0.17595223652599223
UBFD1	6.581683298134409	-6.80071766021513	-0.2083344568552521	2.012634390711848e-11	2.7191467005670754e-10	15.427296104516657
CTH	4.142646376197668	-4.138544685810967	-0.2083539704725652	3.858401879145557e-5	1.2801824562397318e-4	1.560409856952818
RBKS	4.730479222496075	-4.311909890219458	-0.20836446282095178	1.8165664960004804e-5	6.476763708919489e-5	2.269637648022332
