Name	AveExpr	t	logFC	P.Value	Adj pval	B
FAM124B	2.9014010692181516	-2.89613686687342	-0.11183828020516362	0.0038058841328363346	0.009993189421455497	-2.7009603332879797
NDFIP2	6.226702959887838	-4.751025714985607	-0.11187328495704474	2.1214205975694905e-6	1.3542626805458055e-5	4.27739470583805
DCP2	5.283766677688405	-6.117673231511781	-0.1118791408996076	1.0758398149239535e-9	1.6219532044201192e-8	11.54861592781065
PPP1R9A	4.106083708000993	-2.702472543462518	-0.11191080566500755	0.006922316955306087	0.016829426830868306	-3.235776664059669
AKAP2	5.961917941989474	-3.4299802605716088	-0.11193137012558374	6.119799153196282e-4	0.002033457073125537	-1.036427626725966
ZNF727	1.021115759773548	-2.2283666920604497	-0.111939357615085	0.025931754068987446	0.05213834236083014	-4.389567624396466
APOBEC3G	5.650011772357001	-2.8888431163573705	-0.11194643964989304	0.003895024019979922	0.01019344409424836	-2.7217693075283673
RAB11FIP2	4.820265483470643	-4.802970595289592	-0.11196180499892527	1.6419219705860083e-6	1.0779626145750679e-5	4.520933213951148
C12orf29	5.689626347752053	-6.503262159673041	-0.11197644946479723	9.208774444791461e-11	1.918881009022221e-9	13.922866463053191
ZNF800	5.4079940965176725	-6.376088622554038	-0.11201353896020638	2.103716487798821e-10	3.927339501872447e-9	13.124206012150099
SPTY2D1	5.370143821321874	-5.838934930268777	-0.11202952262870802	5.8307036874009764e-9	7.26639150038885e-8	9.920361265221258
ZMYND8	6.011177936501824	-4.875086889675744	-0.11209547577977919	1.1456155341335867e-6	7.858361622463609e-6	4.863363789364669
DYNLT3	6.312237264195792	-4.916031364106087	-0.11211218489470376	9.318466061387582e-7	6.552428722393461e-6	5.060015060711599
SWT1	4.243249093043774	-5.756886867453687	-0.11212864181541704	9.456443771007863e-9	1.1075289643575255e-7	9.455198277432414
GLS2	4.435227581512242	-2.982243088641901	-0.11213421208471175	0.002885053652787527	0.007843349324461329	-2.451358322009339
NLRC4	3.2106450093669943	-3.3977738056675144	-0.11214558294468802	6.884429038246533e-4	0.002256645457965188	-1.1447518589567478
NRIP3	3.537814632490376	-2.170111910637051	-0.11216272024626939	0.030078542939766476	0.05921418484693839	-4.516087644781661
SAMD3	3.4026324874686744	-2.416959721025502	-0.11222010317767284	0.015711515771121603	0.03406811825499067	-3.957071464967452
GLIS3	4.581770370746558	-2.7657978272904447	-0.1122227865652432	0.005714002083016405	0.014220197586211365	-3.064949432692164
RBPJ	6.5645856057690946	-6.864089114255972	-0.11224430390583073	8.136551894966127e-12	2.238412131587962e-10	16.27216472281024
TMEM252	2.176675075152436	-1.855969183964515	-0.11227010880221211	0.06355838751894947	0.11126841810007766	-5.140754735529331
PRIMA1	2.782051942817917	-1.5676148728775838	-0.11234638919982887	0.11707913203944863	0.1854484949836657	-5.628524936482576
ERVV-1	0.8378751337438554	-2.0509669413495017	-0.11241141546876665	0.04035900855573997	0.07582505074782508	-4.764447391249817
TUBA1A	8.11318969282723	-3.338455151621586	-0.11244463010136663	8.529971557847655e-4	0.0027230121299127346	-1.3416129388662066
SERINC3	7.312882204201772	-6.341958001149043	-0.11246085256925031	2.6191299542344966e-10	4.779518509671208e-9	12.912472618490218
TMEM86A	4.6075339267268225	-3.306830066485502	-0.1124788104874801	9.549762805142912e-4	0.003006364203615666	-1.4451610165963
ANG	5.957882487840314	-2.821689565199865	-0.11249146894722539	0.004809361944256548	0.01223468357714768	-2.910905370654861
TEX11	1.507068978155676	-2.120830747473163	-0.11255206183979793	0.034019908900218616	0.06572995765868676	-4.620510083977164
MAML3	4.30733374885627	-3.927980932326416	-0.11255463445739444	8.764052145867757e-5	3.617654525850943e-4	0.7674315138695498
REST	5.326739226581934	-6.109966153319813	-0.112559831071529	1.1284127596250683e-9	1.6872457453441496e-8	11.502599801131234
FRMD4B	5.590104162982949	-4.144105206658884	-0.112575172127662	3.5081582610371736e-5	1.619943667596577e-4	1.6254581575310176
PPT1	7.730376381804031	-5.372627138907142	-0.11264789344284232	8.368634495277959e-8	7.744388792073282e-7	7.3624144708676535
MYCBPAP	2.58765857902542	-2.33421072591072	-0.11267424521788882	0.01965201136009073	0.04123643648695877	-4.151145556831187
RAP2C	6.029381588121347	-5.251500440476127	-0.11276892045114995	1.6167098847801688e-7	1.3888453029064355e-6	6.732082145146794
KCNA6	0.8861248944613905	-3.0812476894743894	-0.11279100629151495	0.002080520535266969	0.005898262762808536	-2.1553859031721414
FAM25A	1.2055784971395622	-1.3275966471519711	-0.11280483914888184	0.184414920929877	0.2697642200783068	-5.971970895469485
ZNF791	5.2261699818890905	-6.440952166398034	-0.1128195605984521	1.3829763574114565e-10	2.74664835563549e-9	13.529639443752332
ZNF721	5.747940346388524	-6.1877256820485735	-0.11282034873843028	6.955079016953415e-10	1.1101305789373845e-8	11.969464514870053
BACE1	5.717373405482712	-4.836157109665102	-0.11287038778470837	1.3921439743651034e-6	9.338388972794572e-6	4.677889403029477
WDR25	5.401251584238226	-6.398668869828241	-0.11288198135840677	1.8187113564318096e-10	3.4646831823573342e-9	13.264892582494452
GNA13	6.273494453888828	-5.596094610261607	-0.11288852451593101	2.3950216449405263e-8	2.5212794333905704e-7	8.562270427526407
GLCE	5.6495421334473725	-4.304863522362324	-0.11292684884357218	1.7257471373791377e-5	8.671836425967087e-5	2.2931209396420495
HIF1AN	5.735931338172333	-6.318731679736007	-0.11295276720210712	3.038436085975146e-10	5.425097842919545e-9	12.769017373255602
ESRRB	1.062778914037766	-2.6645544788348636	-0.112974663476058	0.007751339315873759	0.01853320094797071	-3.336180697620713
BST2	7.999289296219849	-2.3233779076176626	-0.11302812754659186	0.020227042124953434	0.042181941048855136	-4.176053640390611
CSGALNACT2	5.584747260400898	-5.0895488249389045	-0.11304138882563564	3.816115309957429e-7	2.999529219894031e-6	5.9113405681325855
EHHADH	5.134116562865455	-3.3982542876153348	-0.11308778025408905	6.872397194307468e-4	0.0022531070693560325	-1.1431433376493025
TPT1	11.541913708165309	-5.267876280367585	-0.11315412253348889	1.4801981419196862e-7	1.2873623954460997e-6	6.8164763907252315
AP5M1	5.887198003646559	-6.591721185941463	-0.11315963502245552	5.1375898036684295e-11	1.1537088224958006e-9	14.487428596907714
ZNF217	6.212657769646959	-4.47139242000853	-0.11323681104957117	8.06677544924685e-6	4.450533610472088e-5	3.011193799440795
MT1H	3.4616522999449155	-1.2637922916467932	-0.11326748325927882	0.20640522769894304	0.2957764574873803	-6.053700859025108
KCNE3	5.295894964282155	-2.878231220196886	-0.11327406522724548	0.004028106682486586	0.010482977836731312	-2.7519516659384244
RUNDC3A	3.3529535641093045	-1.861078875838354	-0.11327752376528855	0.06283322699940548	0.11023203257038558	-5.131372090027593
ZNF823	4.540606211033359	-5.255991442559356	-0.11328542842105893	1.5781055425458542e-7	1.360817146820317e-6	6.755201241678435
OTUB2	3.4201455755457433	-4.069321660264627	-0.11337320918433447	4.8396850545871014e-5	2.1513386432545837e-4	1.3234229573132428
DLEU7	2.2479620750255678	-3.0953545905278683	-0.11337393202749757	0.001984367884705652	0.0056644683254324976	-2.1124319642898275
CERS2	8.54001254353738	-5.750205116450412	-0.113385604076921	9.83352226671144e-9	1.1472652627889094e-7	9.417600044717878
PAK3	2.107537402331066	-2.156500682841089	-0.11340434376021458	0.031125794256331305	0.060900619359293695	-4.545167617321299
TMEM187	5.27215176505909	-5.5354556559585015	-0.11344891050181705	3.378834803986555e-8	3.4072723948063757e-7	8.231950909299497
GAS7	4.6755300302689	-2.642402480375042	-0.11346762098215635	0.008275858638834918	0.01962754753619762	-3.394184164989729
PIGN	5.391339259213735	-4.6738136471187435	-0.11350257437553335	3.0902183604138702e-6	1.878473190248912e-5	3.9202122773671952
ZFP69B	3.457032577528154	-4.099249652006537	-0.11351579818363122	4.257631248904722e-5	1.922637746220005e-4	1.4436434125968098
HIST2H4B	4.378552597141234	-1.2244499646506553	-0.11351621116342248	0.22088106835528906	0.312611595965692	-6.102092552287012
THAP1	5.156404320423593	-6.644983217108956	-0.11352576155673866	3.602675608202137e-11	8.509977714212362e-10	14.830926802002997
GXYLT1	4.848424892370124	-5.8921574407959545	-0.11356990681844614	4.2464383551314716e-9	5.484832292457756e-8	10.225538571909082
GLUD1	7.590022862092044	-5.76258001841721	-0.11357816454665581	9.146283543356168e-9	1.0743545983906069e-7	9.487267325702812
PPP4R2	6.234127821237564	-6.938825892364921	-0.11358678550514334	4.848114658424448e-12	1.4379288032616456e-10	16.774121671967613
BCAT1	4.5242518895685	-2.345275197187916	-0.11361634791125219	0.019079482655489248	0.04023570381215495	-4.125585707104948
RGS13	1.961894629665504	-2.147556137330565	-0.11362678354818545	0.03183090921026571	0.062146710820900425	-4.564178064793875
MTMR9	4.296917267302186	-5.5552220225611375	-0.11366442236435237	3.021437991048533e-8	3.114115941877526e-7	8.33923754970299
TOR1AIP2	5.967657386827558	-6.406815819211407	-0.11367631504285924	1.725447803531738e-10	3.3147526791054864e-9	13.315770960932513
CD163	6.399040693043023	-2.2079671744503484	-0.11369393005531414	0.02732383016861771	0.054545828678161316	-4.434252134786343
KCNIP4	3.0127063022692178	-3.0265632643487037	-0.11369821853533768	0.002495049318401854	0.006891088593681311	-2.32005134554577
PPP1R12B	5.08291980324795	-3.357706486399735	-0.11369907406620872	7.959666227020471e-4	0.002559347481046907	-1.2781005398883707
PTPN21	4.762443696802352	-3.8182996944298346	-0.11375850554730871	1.3716108746607319e-4	5.418606778594631e-4	0.3493792575597352
SGPP2	5.082592407225705	-2.2092019466950927	-0.11377507126679909	0.02723777059086451	0.05438595307541108	-4.431559050111359
ISLR	6.547702572345725	-2.0611044472085207	-0.11386967846232654	0.03938121736148794	0.07426079215028146	-4.743859667388726
ABHD12B	2.094837389549989	-1.6441202894439408	-0.11390417046888279	0.10025874732913503	0.1632611146600686	-5.507103519372517
VAMP4	5.675829658410372	-6.615076203201702	-0.11392863886567195	4.398601108007803e-11	1.0140167516333936e-9	14.637719916661782
HAO2	1.6743125569637298	-1.8653374522857988	-0.11394275353399652	0.062234096852739396	0.10937058495436552	-5.123532639394997
SESN3	5.262485922261326	-2.6573383842254668	-0.11396063733181894	0.007918834971124196	0.0188791494297832	-3.355128480789444
LRRFIP1	7.120279342834041	-5.947071582204321	-0.11401453688265395	3.053092745882808e-9	4.0884503741189486e-8	10.543249058381372
POLR2M	6.102146495742948	-6.528998450162295	-0.11405620214851897	7.776665598163991e-11	1.6564752499855276e-9	14.086356464495315
FBXO28	5.879928546915512	-6.13965851571749	-0.11410677052166829	9.38657990700767e-10	1.4413861152312285e-8	11.680192556671487
RNF219	5.016705683272384	-6.284411616677206	-0.11416512036896442	3.780465079225273e-10	6.575914997406941e-9	12.557980002417688
ZNF112	3.9557092592086693	-4.5738712741157075	-0.11418634356754165	4.9868426330767575e-6	2.8877703667279462e-5	3.4664413798298774
ESCO2	3.5188678830775384	-2.8253109719212524	-0.11420228477237782	0.004755483376718407	0.01212453963901901	-2.9008185827243955
STXBP5	4.587099468641222	-4.298849340014977	-0.11421000586655872	1.7729373810681786e-5	8.882649955598205e-5	2.2676910132044554
LIMA1	7.018392685915239	-4.385292959599259	-0.11421065424520105	1.199152516739443e-5	6.313664537397725e-5	2.636575193058512
ZNF570	3.9174047680771205	-4.013051825447328	-0.11423237893095806	6.144121661297309e-5	2.644687868011028e-4	1.0997459172863042
RAB5B	7.218193803121285	-6.600045742104516	-0.11424623763716468	4.8612182254422513e-11	1.1006549485326391e-9	14.54093859444013
SLC23A1	2.8405547822027373	-1.931229588357194	-0.11428148440975905	0.053551111287683126	0.09636131200190545	-4.999956525065418
RUNX2	4.661322470285459	-2.7115300022442765	-0.11428202981913138	0.006736476796985778	0.016428055091952998	-3.2115844007648593
TTBK2	4.115191862099131	-5.1081556805426684	-0.11436844678060476	3.4618929736665224e-7	2.74360290846017e-6	6.0043532897105045
ARID4A	4.997918976618593	-5.364242362039817	-0.11441308907817938	8.762825555858784e-8	8.08043438092659e-7	7.318326848395065
NKX6-1	1.5767148871116965	-1.9690941364961456	-0.11447427649599984	0.04903647271804063	0.08949315974956969	-4.927008506160739
RC3H1	4.648632372769742	-6.186702102469226	-0.1145195447709133	6.999782989543247e-10	1.1162876340241823e-8	11.96328163688416
CCNT1	5.2892952698706726	-6.433868959793794	-0.11454061169362095	1.448076725113073e-10	2.8541529564674554e-9	13.485171456722915
HOXC5	1.6358055875490194	-2.2393555984088986	-0.1145557025541386	0.025207610469998934	0.05090154139922614	-4.365327047696271
HOXC9	4.134766976657305	-1.9499255122185981	-0.1145683330617775	0.05128034869173298	0.09289940419514982	-4.9641144103100086
HDX	3.4533015304093055	-3.3061736603096032	-0.1145729187817146	9.572079399034695e-4	0.0030113441011438914	-1.4472998874087502
MS4A6E	0.657143601953554	-2.4159471859575876	-0.11460370173384549	0.015755184143485274	0.03415467368422257	-3.959486890527177
ERLIN1	6.017332176185937	-5.5491503456329925	-0.11463239520169743	3.127122485728672e-8	3.1941197257482094e-7	8.306242246930337
PRKAA1	6.354534847667123	-4.866190532022542	-0.11465834230329541	1.1979451244517775e-6	8.168093076194598e-6	4.820849630842261
