Gene	Difference of means	Std Error	t	pvalue	padj
ABCC11	-0.12020781386418533	0.242422975484095	-0.49585982361672637	0.6203469476652481	0.999920908992172
ABCC12	0.15810750992038752	0.16704411498761904	0.9465015270493434	0.3446348098712233	0.999920908992172
ABCD1	0.015576668073680189	0.06655173338508943	0.2340535292078517	0.815098921068074	0.999920908992172
ABCD2	-0.15250105014038806	0.16782852871087878	-0.9086717932390647	0.364233854867544	0.999920908992172
ABCD3	0.057360084175574144	0.05866183812399387	0.9778091858344398	0.32893609077113406	0.999920908992172
ABCD4	-0.06779071754297838	0.05582376400647978	-1.2143702372901535	0.22553661890870405	0.999920908992172
ABCE1	-0.026886178557341545	0.0555987890180574	-0.4835748949245898	0.6290312001467168	0.999920908992172
ABCF1	0.0773725320820029	0.04275877507374536	1.80951236204872	0.07134618953379311	0.999920908992172
ABCF2	0.0347742622336904	0.05229790570483063	0.6649264777437998	0.5065950753053701	0.999920908992172
ABCF3	0.023153796708155205	0.037946203306016675	0.6101742649042304	0.5421963066110802	0.999920908992172
ABCG1	-0.09794316321060759	0.12388847621895739	-0.7905752512243778	0.4298001897553101	0.999920908992172
ABCG2	0.15404979535527907	0.20035626513643412	0.76887935223976	0.4425541127652298	0.999920908992172
ABCG4	0.15792486261016192	0.15366664069665315	1.0277107763546074	0.3048923067941747	0.999920908992172
ABHD1	0.07499225777233276	0.1834872067483217	0.4087056482100962	0.6830397093842359	0.999920908992172
ABHD2	-0.016642900933602434	0.08411136505860327	-0.19786744540415857	0.843279301941643	0.999920908992172
ABHD3	-0.2192897013158941	0.10357776606305749	-2.1171503272467946	0.03504844586451528	0.999920908992172
ABHD4	-0.011864861218275458	0.07199302643072879	-0.16480570142014725	0.869205025303807	0.999920908992172
ABHD5	-0.0504399531322175	0.06623000590446776	-0.7615876284983829	0.44688890264228454	0.999920908992172
ABHD6	0.11466805755238774	0.09283317724218242	1.2352055693757273	0.2176953949181222	0.999920908992172
ABHD8	0.09800972850559297	0.07021680259784402	1.3958158856496028	0.1637752999284402	0.999920908992172
ABHD10	0.032266037341548426	0.06053578006210839	0.5330077073169649	0.5944126104400715	0.999920908992172
ABHD11	-0.06441997406380295	0.06819199211653358	-0.9446853224894118	0.3455600246801698	0.999920908992172
ABHD12	0.07664198282231816	0.06837396007926082	1.1209235611550485	0.2631936158043446	0.999920908992172
