Gene	Difference of means	Std Error	t	pvalue	padj
ABCG4	0.1413136344390007	0.5582119346828218	0.2531540901562695	0.8018758986555443	0.999963033988593
ABHD1	-0.3696010795656619	0.6476475891855601	-0.5706823984791612	0.572465174830948	0.999963033988593
ABHD2	0.46461607450173403	0.4525238428124547	1.026721755950196	0.31275923742583234	0.999963033988593
ABHD3	0.09942452445465122	0.4907764686801111	0.20258616865238557	0.8408261806067294	0.999963033988593
ABHD4	0.14949632436309024	0.2846544318948913	0.5251853040471605	0.6033145772227526	0.999963033988593
ABHD5	0.09457828994009798	0.29310539620540565	0.32267672709040934	0.7491782700620988	0.999963033988593
ABHD6	0.4693661874513193	0.44853606185914274	1.0464402472029506	0.3037162614473635	0.999963033988593
ABHD8	-0.10452632621388691	0.3448458482209006	-0.3031102933474486	0.7638978297443897	0.999963033988593
ABHD10	0.1792132852772097	0.3260958117613244	0.549572483955664	0.586680896483914	0.999963033988593
ABHD11	-0.07534790521524659	0.5216009333610009	-0.14445508126247578	0.8861072108729419	0.999963033988593
ABHD12	0.059049181047251764	0.26428235559182617	0.22343217319604541	0.824713663224028	0.999963033988593
ABHD12B	0.2931981469901661	0.6644908840749889	0.44123727505805516	0.6622050514323156	0.999963033988593
ABHD13	0.05335969510729033	0.24214011375691671	0.220367019241008	0.8270781352536909	0.999963033988593
ABHD14A	-0.12715300118542228	0.4095183834444219	-0.31049400057684823	0.7583322888949448	0.999963033988593
ABHD14A-ACY1	0.7419717230577296	0.4535007969452176	1.6360979474692279	0.11226911731509241	0.999963033988593
ABHD14B	0.1787465389687135	0.3359778494958326	0.5320188198029723	0.5986312169339683	0.999963033988593
ABHD15	0.5311297734128075	0.293480116346593	1.8097640822302115	0.0803618230448542	0.999963033988593
ABHD16A	-0.09366933761724372	0.21482393281630155	-0.43602840888934596	0.6659378174445056	0.999963033988593
ABHD16B	-0.17144480837305398	0.39754913908910805	-0.43125438220261303	0.6693666262619485	0.999963033988593
ABHD17A	-0.25260726262346545	0.2321751452591189	-1.0880030346984098	0.2852576885653421	0.999963033988593
ABHD17B	0.4272491914088974	0.22832151602259676	1.8712611883963355	0.07109017134423663	0.999963033988593
ABHD17C	-0.09273436490421805	0.4919317409603903	-0.18851063507952195	0.8517458145573965	0.999963033988593
ABI1	0.2582888745489731	0.23142883755013485	1.1160617548062457	0.27325566968951	0.999963033988593
ABI2	-0.05387300873696166	0.28914242189137207	-0.18631997471889894	0.8534480505024241	0.999963033988593
ABI3	-0.3554407980946941	0.5616526697057879	-0.632848052304079	0.5316275451954255	0.999963033988593
ABI3BP	-0.003967757562424623	0.8846826911157296	-0.0044849499173773046	0.9964512312237819	0.999963033988593
ABL1	0.18049554679311086	0.2204168529827411	0.8188826959036742	0.41931109707337055	0.999963033988593
ABL2	-0.02477383790161536	0.4017539011955986	-0.0616642124143405	0.9512392386948394	0.999963033988593
ABLIM1	-0.13187299407873265	0.38552607044646847	-0.3420598610257763	0.7346906378636391	0.999963033988593
ABLIM2	-0.20851091861056048	0.6281773373229358	-0.33193002393107407	0.7422500502610174	0.999963033988593
ABLIM3	0.9700331791765615	0.9747904642761738	0.9951196844101827	0.327637249637864	0.999963033988593
ABR	0.2945044120950424	0.40318266706483824	0.7304490895876766	0.4707820365613362	0.999963033988593
ABRA	0.35196694029442055	0.3977005516812233	0.8850049083576316	0.3831926195901567	0.999963033988593
ABRACL	0.5089468328014828	0.45099074628795827	1.1285083718248168	0.26804939877611866	0.999963033988593
ABT1	0.10776475524002915	0.18989190000164202	0.567505803244358	0.5745933213999153	0.999963033988593
ABTB1	-0.1039791353782924	0.29275493230815475	-0.3551746662592302	0.7249437649439903	0.999963033988593
ABTB2	0.3906066806509356	0.5685887968245077	0.6869756893424943	0.4973745620145733	0.999963033988593
AC002310.13	-0.08422807660619959	0.36177514034928915	-0.23281886235985835	0.8174832134892217	0.999963033988593
AC002365.1	0.3134007430140675	0.6031953842224711	0.5195675418140778	0.6071776392369819	0.999963033988593
AC002398.9	-0.19710539571517005	1.1322578443935136	-0.17408172236664718	0.8629706590977674	0.999963033988593
AC002985.3	0.20105782760735208	0.4376401575709958	0.45941357101064395	0.6492490339661824	0.999963033988593
AC003002.4	0	0	NaN	NaN	NaN
AC003002.6	-0.6055701599990799	1.024915479270831	-0.5908488770507287	0.5590472142597165	0.999963033988593
AC003005.4	-0.12690930098711317	0.545098879449702	-0.2328188623598583	0.8174832134892218	0.999963033988593
AC003006.7	-0.1674492472647977	1.0892797198612993	-0.1537247450876249	0.8788562046348729	0.999963033988593
AC003101.1	0.04945484393874494	0.254718205220497	0.19415512093426665	0.8473631717992021	0.999963033988593
AC003102.1	-1.1123324582295675	1.4492646890577272	-0.7675150485814817	0.4487743263434679	0.999963033988593
AC004017.1	-0.1477903739433959	1.054520187070518	-0.14014940231154893	0.8894786914207098	0.999963033988593
AC004076.7	-0.15658744162545976	0.36422865542484406	-0.4299152175240381	0.6703297493457874	0.999963033988593
AC004076.9	-0.5757945596543612	0.9387270739760674	-0.6133780260704838	0.5442493350075612	0.999963033988593
AC004381.6	0.12437966747924101	0.35152728532083904	0.35382649561816987	0.7259435961147158	0.999963033988593
AC004466.1	-0.4033585056661759	0.4845912696856095	-0.8323684946447026	0.41177831947347143	0.999963033988593
AC005003.1	0.2073185134548523	0.42405165135023487	0.48889920082783206	0.6284683120664871	0.999963033988593
AC005082.1	0	0	NaN	NaN	NaN
AC005481.5	-0.11418620472277868	0.35807203689827594	-0.31889171160052815	0.7520184032947279	0.999963033988593
AC005544.1	0.32745883378878576	0.35463850500612293	0.9233595031738928	0.363187303450186	0.999963033988593
AC005609.1	-0.030409854355263777	0.9825426265035218	-0.030950162908942026	0.9755142783823163	0.999963033988593
AC005779.2	0.030434417440690975	0.5280674324421227	0.05763358156730608	0.9544226739213881	0.999963033988593
AC005841.1	0.014276663769014375	0.5196497973071147	0.027473625204893173	0.9782639248270212	0.999963033988593
AC006116.20	-0.33943123338514214	0.642592621052144	-0.5282214925365577	0.601231583115365	0.999963033988593
AC006126.3	-0.24861766285931702	0.5921279901855232	-0.41987149227892623	0.6775712244289269	0.999963033988593
AC006132.1	0.09431263073522045	0.6843595886331509	0.13781151356933274	0.891310215410443	0.999963033988593
AC006449.1	0.48606142238471506	0.8866976036158823	0.54817044774069	0.587631106553569	0.999963033988593
AC006486.1	-0.0236198639202021	0.3377538582632202	-0.06993218091322154	0.9447117253792066	0.999963033988593
AC006486.9	0.434853003921849	0.45953383308388085	0.9462915951228194	0.35156007464112293	0.999963033988593
AC006538.4	-0.7617171390525517	1.3752296940573323	-0.5538835747541648	0.5837638123289979	0.999963033988593
AC006547.14	-0.39418441008024496	0.6682845687975656	-0.5898451475387125	0.559711245540297	0.999963033988593
AC007040.11	-0.04706983876510329	0.3997181784176623	-0.11775756346993155	0.9070446517819122	0.999963033988593
AC007382.1	1.8039942818880066	1.728525522692797	1.0436607722619218	0.30497977923386044	0.999963033988593
AC007390.5	0.020829867570260063	0.20082857521869618	0.10371964023335312	0.9180821273244084	0.999963033988593
AC007401.2	-0.26509399316226234	0.4700592707643222	-0.563958652982668	0.5769743586136169	0.999963033988593
AC007405.2	0.3540297023879937	0.7552028390323335	0.46878756817390105	0.6426102641524357	0.999963033988593
