Name	Mean(log(breast_black))	Mean(log(breast_white))	logFC	M-W U test pval	Adj pval
FADS2	8.266663663643357	9.415598743204528	-1.1489350795611717	0.02935252039575742	0.9968005456748952
SOX11	1.4986836983951293	2.646899521730522	-1.1482158233353925	0.07837249165615101	0.9968005456748952
CHGB	2.138197178711754	3.2852434652708675	-1.1470462865591133	0.08048148827849955	0.9968005456748952
C6orf52	4.361639242606678	5.507214429092335	-1.1455751864856571	0.006052191593783451	0.9968005456748952
RET	4.406886980832408	5.551636349977148	-1.1447493691447397	0.10289828405120349	0.9968005456748952
CHST8	3.761611035841114	4.903694991267258	-1.1420839554261444	0.1661199704495876	0.9968005456748952
TUBB2B	7.443336522832492	8.583331198236635	-1.139994675404143	0.04681970005153291	0.9968005456748952
RP11-434D12.1	2.3783246437772543	3.517781361290691	-1.1394567175134367	0.28421620743647835	0.9968005456748952
KCNC2	2.844005303034505	3.978757071428889	-1.1347517683943837	0.17969417851545832	0.9968005456748952
CST1	0.0	1.1251971301884731	-1.1251971301884731	0.41655994327679124	0.9968005456748952
OBP2A	2.2108620455970915	3.3328258710613956	-1.121963825464304	0.10160606064685784	0.9968005456748952
AGAP7	2.2607742335388274	3.3811349987299977	-1.1203607651911702	0.0203260269839749	0.9968005456748952
SKA1	2.376644378527876	3.495754131907686	-1.11910975337981	0.012248191785904083	0.9968005456748952
CD1A	0.7324254582506389	1.8475967494492753	-1.1151712911986364	0.04547470755522365	0.9968005456748952
LILRA4	2.7015717147511364	3.815677810723731	-1.1141060959725944	0.06307229529573588	0.9968005456748952
AL627309.1	5.9532729561635405	7.060526576719952	-1.1072536205564116	0.006052191593783451	0.9968005456748952
CST5	0.0	1.1045353921195478	-1.1045353921195478	0.3754781198039433	0.9968005456748952
GABRB3	3.712264999039228	4.8165995757398585	-1.1043345767006305	0.06134637522011932	0.9968005456748952
POTEF	0.7394560941421412	1.8423988628902044	-1.102942768748063	0.03864594304240887	0.9968005456748952
FCRL1	1.0735524484153083	2.175923556612129	-1.1023711081968206	0.07038191029030016	0.9968005456748952
DIO1	2.882197213743368	3.9833025144411818	-1.1011053006978138	0.10552192181899578	0.9968005456748952
CD22	4.871774750118086	5.97106904249619	-1.0992942923781035	0.023519833615750274	0.9968005456748952
FAM129C	1.5695979130513251	2.6684112449170594	-1.0988133318657343	0.01811023263144307	0.9968005456748952
CTC-435M10.3	0.9466555246100051	2.040021756841948	-1.093366232231943	0.24474244852424698	0.9968005456748952
MLIP	4.0027111519986525	5.0945780662806195	-1.091866914281967	0.024286004021038088	0.9968005456748952
ETNPPL	1.517202184675817	2.608441123226207	-1.09123893855039	0.04547470755522365	0.9968005456748952
CCL17	2.6450584355177136	3.730771094869505	-1.0857126593517914	0.07428944419771755	0.9968005456748952
HIST1H4D	0.3008326079343899	1.375687960552382	-1.074855352617992	0.117990997556088	0.9968005456748952
RP11-817J15.3	4.536658743976099	5.6080899181236585	-1.07143117414756	0.015839486236491118	0.9968005456748952
CNTN2	1.7592157124507686	2.8299225932703127	-1.0707068808195441	0.008588767433140965	0.9968005456748952
CORT	2.238318012303783	3.308824596536269	-1.070506584232486	2.2727894771568113E-4	0.7065205540700937
MTRNR2L8	5.080765904008982	6.145489254345844	-1.0647233503368625	0.21835469056590184	0.9968005456748952
FAM196A	1.5731832412210824	2.631451011540896	-1.0582677703198136	0.1331704208771286	0.9968005456748952
AL592284.1	5.228304443546354	6.285993946591704	-1.0576895030453501	0.0012329251183448298	0.8636166252036939
CYP2A6	4.805786674971725	5.855960643920098	-1.0501739689483731	0.38888541180776515	0.9968005456748952
CADM3	6.6250198779527425	7.674527882771884	-1.0495080048191419	0.0917277462779007	0.9968005456748952
HPX	5.788353561883995	6.833455551638767	-1.0451019897547722	0.16054438990208808	0.9968005456748952
TH	0.8754593141072776	1.9193155436733753	-1.0438562295660976	0.019348980200336707	0.9968005456748952
MRC1	4.13171899814182	5.173435675499442	-1.0417166773576216	0.11092823886953462	0.9968005456748952
CLEC18C	0.5623275566764875	1.60159021900632	-1.0392626623298327	3.4914808843788947E-4	0.7065205540700937
GHRH	0.746640462281828	1.776811346774191	-1.030170884492363	0.30694214501182127	0.9968005456748952
C16orf98	2.482544997008317	3.5122483924965717	-1.0297033954882546	0.03864594304240887	0.9968005456748952
SULT1A2	4.509470682862922	5.5373457625072975	-1.0278750796443754	0.05883096924984421	0.9968005456748952
MOGAT2	4.331987891746782	5.358673996876877	-1.0266861051300946	0.2348992544963665	0.9968005456748952
IFNG	0.8358422304354818	1.8587919216886777	-1.022949691253196	0.06849231022302693	0.9968005456748952
AP001816.1	7.197497380354252	8.217733580488124	-1.0202362001338718	0.0020042863576266168	0.9197390527031953
NDC80	3.783901896480971	4.802304737696295	-1.0184028412153237	0.007024012618733422	0.9968005456748952
PCDHA5	1.3570642927992849	2.3739638607432307	-1.0168995679439459	0.0143046498994861	0.9968005456748952
RP11-724O16.1	1.750864172865241	2.7626966104532054	-1.0118324375879644	0.09656589443461905	0.9968005456748952
C7orf13	5.171678568129233	6.180931805357779	-1.0092532372285454	0.007287896450066	0.9968005456748952
NBPF15	7.984159278236535	8.991200098039963	-1.0070408198034277	0.006644258683737636	0.9968005456748952
AQP3	8.203326130757022	9.210134697835814	-1.0068085670787923	0.09412189775925206	0.9968005456748952
CA3	7.460842630009394	8.464656398478077	-1.0038137684686825	0.029813086398022937	0.9968005456748952
LRRC31	2.1566362035709727	3.160414274278131	-1.0037780707071584	0.30694214501182127	0.9968005456748952
HIST1H3D	2.295394111697542	3.2984640270359917	-1.00306991533845	0.117990997556088	0.9968005456748952
TNFRSF9	0.6867131349447919	1.6884161881541566	-1.0017030532093647	0.10289828405120349	0.9968005456748952
COL28A1	4.347540208726098	5.34798894199848	-1.000448733272382	0.02889808892436385	0.9968005456748952
SLITRK5	3.0124296653734053	4.011487947396958	-0.9990582820235527	0.0917277462779007	0.9968005456748952
