Name	Mean(log(Black))	Mean(log(White))	logFC	M-W U test pval	Adj pval
COL17A1	6.4675468117587185	6.863027360405681	-0.3954805486469626	0.06321682950399443	0.09949057197776932
PPIP5K1	7.650493939087447	8.046024178874383	-0.395530239786936	5.010357956303224E-7	2.638769204748245E-6
KDR	7.461404331128336	7.857048688284739	-0.395644357156403	4.211248654795163E-6	1.7819530785578416E-5
MOCS1	6.882332751964863	7.278012543782913	-0.3956797918180506	2.7478813978687455E-6	1.212610031935682E-5
C5orf63	6.548664584191416	6.944505699632874	-0.39584111544145806	1.260790677815038E-5	4.766767661276203E-5
PDE2A	6.059234431656449	6.4552942443521975	-0.3960598126957482	2.788064349482644E-4	7.828588950474548E-4
TP53TG3	0.8815705962569093	1.2777793399248878	-0.39620874366797854	0.002036820224124991	0.00467244866126267
ARHGAP36	1.5400361398848248	1.9362467661828557	-0.39621062629803094	0.04754022731401286	0.0774213198464457
FGFR2	7.894643851496951	8.290921731881651	-0.3962778803847007	0.02093517018145541	0.03747506578972537
ARRDC3	9.020141356632548	9.416424480518492	-0.39628312388594367	8.366939749926416E-7	4.191986429866847E-6
GPATCH2	7.817888958243026	8.214227846602816	-0.39633888835978937	1.533226412497868E-8	1.1514688422437595E-7
HSD17B4	11.138661651571239	11.535148313544376	-0.3964866619731371	2.3979302987697793E-9	2.179196936187386E-8
C2ORF15	6.5501407307832915	6.946673063208007	-0.39653233242471586	1.8005568259704674E-6	8.31855426549319E-6
GLUD1	10.790774136144398	11.187329268517471	-0.3965551323730736	1.1324163828874134E-11	1.9238402206292512E-10
INSR	8.32197012563171	8.718561213666026	-0.39659108803431664	6.12992323567596E-10	6.35390790939844E-9
CHSY3	5.122734409849098	5.519330284001254	-0.3965958741521556	2.603439481984049E-4	7.356685779037005E-4
ZNF791	7.4880331501105575	7.88479340101298	-0.39676025090242284	3.3306690738754696E-16	2.6488273001493476E-14
HFE	7.199933196388794	7.596808965475596	-0.3968757690868019	6.937330232492656E-8	4.4237625418121935E-7
SV2B	2.9615306998519544	3.3584893835278162	-0.39695868367586185	0.003115343753602229	0.00684563711879872
ZYG11B	7.028946024101385	7.426099566697212	-0.39715354259582636	2.220446049250313E-16	1.8808727185556606E-14
SOCS6	8.086549467414855	8.483872092209982	-0.3973226247951267	1.6421775050901033E-10	1.9727794671966334E-9
COG6	7.7252089799306525	8.122671733811273	-0.397462753880621	5.3809068312205E-11	7.561502716835473E-10
BBS12	5.597041718118736	5.99460775472365	-0.3975660366049141	2.6935252916970853E-9	2.4212479078177352E-8
IDE	8.195356847783964	8.592951794526385	-0.39759494674242113	8.992806499463768E-14	3.049850874641232E-12
BACE1	7.863099100252215	8.26077260593417	-0.39767350568195514	2.1458834709164876E-11	3.3488286008852674E-10
CXXC4	4.840559151340012	5.238305915214717	-0.39774676387470453	0.00258576113594855	0.005790222772395793
LEPROT	9.617886957011788	10.015712089750833	-0.39782513273904563	1.7530421558831222E-13	5.318942180764122E-12
SPATA5	5.394410666224572	5.7922799515140415	-0.3978692852894694	3.1016955670537527E-10	3.457042819289042E-9
TDRD9	2.8682418273199466	3.266190831166428	-0.39794900384648146	0.0029045085083161393	0.00643123513111897
C10orf107	3.2228867075652747	3.620852140736111	-0.3979654331708362	0.00815784264325381	0.016221271996826988
AC073343.1	2.2096382223964337	2.6076232311728487	-0.39798500877641496	5.474785489824052E-4	0.0014360765280235581
LMO3	4.708282484664048	5.106330735311133	-0.3980482506470846	0.008797958811367912	0.017367052446632603
PTGS1	6.959229813600347	7.357433196939185	-0.39820338333883853	5.764139794806056E-6	2.3542613577709775E-5
GNS	10.280915725904634	10.679124646238526	-0.3982089203338912	1.9761969838327786E-14	8.448474053887925E-13
HDGFRP3	9.139860594822128	9.53807075096455	-0.3982101561424223	4.092813819622787E-5	1.3679266889882584E-4
NUDT4	9.712324356450754	10.110652661771349	-0.3983283053205948	4.1199691880322575E-8	2.7872540435528777E-7
DHX29	8.409929259314664	8.808457142116477	-0.3985278828018135	7.593925488436071E-14	2.66475088623117E-12
PRKAR1A	11.284365843083437	11.683011783243293	-0.3986459401598559	1.4410694859634532E-11	2.3643925656185953E-10
FAR1	8.623097100006582	9.021809989878642	-0.3987128898720602	2.809452023244674E-7	1.5627898670535124E-6
TRUB1	7.949509548551578	8.348293648856654	-0.3987841003050754	9.070522111187529E-14	3.064793111112194E-12
ERLIN2	9.321831110353754	9.720801014552995	-0.39896990419924094	8.630757976080261E-7	4.311118054316339E-6
TIGD4	2.728024125506703	3.1271587377822523	-0.39913461227554947	7.210845907046348E-7	3.6600871142454875E-6
AFTPH	9.269296525327238	9.668530794674858	-0.39923426934761963	1.1102230246251565E-16	1.0422361713646057E-14
RPRD2	8.639859894472814	9.039272456420342	-0.3994125619475284	6.321054790703329E-12	1.1616453062390415E-10
CCDC36	2.662735985333311	3.062232520764761	-0.3994965354314499	4.61793611726824E-5	1.5299591152935998E-4
ITCH	8.405423384982461	8.80501390117445	-0.3995905161919886	1.7434942378713458E-12	3.8302191869858807E-11
TTC26	6.772671253955315	7.1725234022173785	-0.39985214826206317	3.097255785178277E-11	4.6463939340746934E-10
MBNL2	8.744648772334271	9.144583962857412	-0.3999351905231414	1.1878084146266232E-6	5.7349859085843226E-6
S1PR3	7.922750203518802	8.322789145537403	-0.40003894201860035	2.3340270399074825E-5	8.273121925028235E-5
