Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
UBBP4	292	Hartigans' dip test for unimodality / multimodality	0.0162401146820374	0.9109	black or african american	GTEX	1
UBC	292	Hartigans' dip test for unimodality / multimodality	0.0135560262499935	0.9904	black or african american	GTEX	1
UBD	292	Hartigans' dip test for unimodality / multimodality	0.0155513340659835	0.9437	black or african american	GTEX	1
UBE2A	292	Hartigans' dip test for unimodality / multimodality	0.0145500611601022	0.9748	black or african american	GTEX	1
UBE2B	292	Hartigans' dip test for unimodality / multimodality	0.0203118727310246	0.5872	black or african american	GTEX	1
UBE2C	292	Hartigans' dip test for unimodality / multimodality	0.0296220341528483	0.0719	black or african american	GTEX	0.48088240910760194
UBE2D1	292	Hartigans' dip test for unimodality / multimodality	0.0185218967919815	0.7475	black or african american	GTEX	1
UBE2D2	292	Hartigans' dip test for unimodality / multimodality	0.0182640307845118	0.7696	black or african american	GTEX	1
UBE2D3	292	Hartigans' dip test for unimodality / multimodality	0.0149441003208894	0.9636	black or african american	GTEX	1
UBE2D4	292	Hartigans' dip test for unimodality / multimodality	0.0164241094171247	0.9022	black or african american	GTEX	1
UBE2E1	292	Hartigans' dip test for unimodality / multimodality	0.0164213672589275	0.9023	black or african american	GTEX	1
UBE2E2	292	Hartigans' dip test for unimodality / multimodality	0.0192918238459808	0.6802	black or african american	GTEX	1
UBE2E3	292	Hartigans' dip test for unimodality / multimodality	0.0129489398953112	0.9918	black or african american	GTEX	1
UBE2F	292	Hartigans' dip test for unimodality / multimodality	0.0202622841127439	0.5917	black or african american	GTEX	1
UBE2F-SCLY	292	Hartigans' dip test for unimodality / multimodality	0.104371884424037	0.0000	black or african american	GTEX	0
UBE2G1	292	Hartigans' dip test for unimodality / multimodality	0.0197828465257471	0.6354	black or african american	GTEX	1
UBE2G2	292	Hartigans' dip test for unimodality / multimodality	0.0158384687687119	0.9301	black or african american	GTEX	1
UBE2H	292	Hartigans' dip test for unimodality / multimodality	0.0180997655573229	0.7837	black or african american	GTEX	1
UBE2I	292	Hartigans' dip test for unimodality / multimodality	0.0175187003699579	0.8271	black or african american	GTEX	1
UBE2J1	292	Hartigans' dip test for unimodality / multimodality	0.0219169441755814	0.4471	black or african american	GTEX	1
UBE2J2	292	Hartigans' dip test for unimodality / multimodality	0.0185134929297519	0.7482	black or african american	GTEX	1
