Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
MGAT2	674	Hartigans' dip test for unimodality / multimodality	0.0104299060921188	0.9417	white	BRCA	1
MGAT3	674	Hartigans' dip test for unimodality / multimodality	0.0108380743097616	0.9124	white	BRCA	1
MGAT4A	674	Hartigans' dip test for unimodality / multimodality	0.00964384694035047	0.9789	white	BRCA	1
MGAT4B	674	Hartigans' dip test for unimodality / multimodality	0.0110481348557939	0.8962	white	BRCA	1
MGAT4C	674	Hartigans' dip test for unimodality / multimodality	0.0687942685107724	0.0000	white	BRCA	0
MGAT5	674	Hartigans' dip test for unimodality / multimodality	0.0117215845471839	0.8260	white	BRCA	1
MGAT5B	674	Hartigans' dip test for unimodality / multimodality	0.00789103687437238	0.9949	white	BRCA	1
MGC4294	674	Hartigans' dip test for unimodality / multimodality	0.0105175331113546	0.9354	white	BRCA	1
MGC10955	674	Hartigans' dip test for unimodality / multimodality	0.0817160002342118	0.0000	white	BRCA	0
MGEA5	674	Hartigans' dip test for unimodality / multimodality	0.00931895877905433	0.9871	white	BRCA	1
MGLL	674	Hartigans' dip test for unimodality / multimodality	0.0118655012918827	0.8110	white	BRCA	1
MGME1	674	Hartigans' dip test for unimodality / multimodality	0.0105416939790959	0.9337	white	BRCA	1
MGMT	674	Hartigans' dip test for unimodality / multimodality	0.0146200965348624	0.4498	white	BRCA	1
MGP	674	Hartigans' dip test for unimodality / multimodality	0.0115996802066737	0.8387	white	BRCA	1
MGRN1	674	Hartigans' dip test for unimodality / multimodality	0.0109436553920253	0.9049	white	BRCA	1
MGST1	674	Hartigans' dip test for unimodality / multimodality	0.00909574054183786	0.9904	white	BRCA	1
MGST2	674	Hartigans' dip test for unimodality / multimodality	0.0104235572458112	0.9422	white	BRCA	1
MGST3	674	Hartigans' dip test for unimodality / multimodality	0.00947019351676816	0.9835	white	BRCA	1
MIA	674	Hartigans' dip test for unimodality / multimodality	0.00890207715133531	0.9911	white	BRCA	1
MIA-RAB4B	674	Hartigans' dip test for unimodality / multimodality	0.0491386695712926	0.0000	white	BRCA	0
MIA2	674	Hartigans' dip test for unimodality / multimodality	0.0512456542188902	0.0000	white	BRCA	0
MIA3	674	Hartigans' dip test for unimodality / multimodality	0.00964197619316063	0.9790	white	BRCA	1
MIB1	674	Hartigans' dip test for unimodality / multimodality	0.0113910578544963	0.8604	white	BRCA	1
MIB2	674	Hartigans' dip test for unimodality / multimodality	0.0114993356206363	0.8492	white	BRCA	1
MICA	674	Hartigans' dip test for unimodality / multimodality	0.0116089297015203	0.8377	white	BRCA	1
MICAL1	674	Hartigans' dip test for unimodality / multimodality	0.0100446379779142	0.9616	white	BRCA	1
MICAL2	674	Hartigans' dip test for unimodality / multimodality	0.0112318508718168	0.8770	white	BRCA	1
MICAL3	674	Hartigans' dip test for unimodality / multimodality	0.00965379926583204	0.9784	white	BRCA	1
MICALCL	674	Hartigans' dip test for unimodality / multimodality	0.00851596901878289	0.9926	white	BRCA	1
MICALL1	674	Hartigans' dip test for unimodality / multimodality	0.0105454757104996	0.9334	white	BRCA	1
MICALL2	674	Hartigans' dip test for unimodality / multimodality	0.0161231618712559	0.2847	white	BRCA	1
MICB	674	Hartigans' dip test for unimodality / multimodality	0.0108525091493855	0.9114	white	BRCA	1
MICU1	674	Hartigans' dip test for unimodality / multimodality	0.0119669314672021	0.8004	white	BRCA	1
MICU2	674	Hartigans' dip test for unimodality / multimodality	0.0107591724353969	0.9181	white	BRCA	1
MICU3	674	Hartigans' dip test for unimodality / multimodality	0.0105046580202182	0.9364	white	BRCA	1
MID1	674	Hartigans' dip test for unimodality / multimodality	0.0108137179580385	0.9142	white	BRCA	1
MID1IP1	674	Hartigans' dip test for unimodality / multimodality	0.00778612605261417	0.9953	white	BRCA	1
MID2	674	Hartigans' dip test for unimodality / multimodality	0.0123288303356776	0.7540	white	BRCA	1
MIDN	674	Hartigans' dip test for unimodality / multimodality	0.0137793894396715	0.5592	white	BRCA	1
MIEF1	674	Hartigans' dip test for unimodality / multimodality	0.0122861068415497	0.7595	white	BRCA	1
MIEF2	674	Hartigans' dip test for unimodality / multimodality	0.0163759899135978	0.2632	white	BRCA	1
MIEN1	674	Hartigans' dip test for unimodality / multimodality	0.0104416250437723	0.9409	white	BRCA	1
MIER1	674	Hartigans' dip test for unimodality / multimodality	0.0114323468732068	0.8561	white	BRCA	1
MIER2	674	Hartigans' dip test for unimodality / multimodality	0.011791027063166	0.8188	white	BRCA	1
MIER3	674	Hartigans' dip test for unimodality / multimodality	0.0150686705025115	0.3947	white	BRCA	1
MIF	674	Hartigans' dip test for unimodality / multimodality	0.0116113542008447	0.8375	white	BRCA	1
MIF4GD	674	Hartigans' dip test for unimodality / multimodality	0.00974977841995874	0.9743	white	BRCA	1
MIIP	674	Hartigans' dip test for unimodality / multimodality	0.010102069191929	0.9592	white	BRCA	1
MILR1	674	Hartigans' dip test for unimodality / multimodality	0.0104166582236126	0.9427	white	BRCA	1
MINA	674	Hartigans' dip test for unimodality / multimodality	0.00802835527028571	0.9944	white	BRCA	1
MINK1	674	Hartigans' dip test for unimodality / multimodality	0.010858581932305	0.9110	white	BRCA	1
MINOS1	674	Hartigans' dip test for unimodality / multimodality	0.0133533277593405	0.6170	white	BRCA	1
MINOS1-NBL1	674	Hartigans' dip test for unimodality / multimodality	0.0102241379585061	0.9539	white	BRCA	1
MINPP1	674	Hartigans' dip test for unimodality / multimodality	0.00937199674359374	0.9859	white	BRCA	1
MIOS	674	Hartigans' dip test for unimodality / multimodality	0.0120869563623562	0.7851	white	BRCA	1
MIOX	674	Hartigans' dip test for unimodality / multimodality	0.0711257530743965	0.0000	white	BRCA	0
MIP	674	Hartigans' dip test for unimodality / multimodality	0.0299316322123447	2e-04	white	BRCA	0.0015195661243220693
MIPEP	674	Hartigans' dip test for unimodality / multimodality	0.00932328141652532	0.9870	white	BRCA	1
MIPOL1	674	Hartigans' dip test for unimodality / multimodality	0.0102001484712442	0.9549	white	BRCA	1
MIR3654	674	Hartigans' dip test for unimodality / multimodality	0.0101324774213162	0.9578	white	BRCA	1
MIS12	674	Hartigans' dip test for unimodality / multimodality	0.0145427994887354	0.4594	white	BRCA	1
MIS18A	674	Hartigans' dip test for unimodality / multimodality	0.0121380694206722	0.7785	white	BRCA	1
MIS18BP1	674	Hartigans' dip test for unimodality / multimodality	0.00963667930106924	0.9792	white	BRCA	1
MISP	674	Hartigans' dip test for unimodality / multimodality	0.00795125562937192	0.9947	white	BRCA	1
MITD1	674	Hartigans' dip test for unimodality / multimodality	0.0112886666674198	0.8711	white	BRCA	1
MITF	674	Hartigans' dip test for unimodality / multimodality	0.0123581266303989	0.7502	white	BRCA	1
MIXL1	674	Hartigans' dip test for unimodality / multimodality	0.0192878338278932	0.0880	white	BRCA	0.5421705006765899
MKI67	674	Hartigans' dip test for unimodality / multimodality	0.00852996663999387	0.9925	white	BRCA	1
MKI67IP	674	Hartigans' dip test for unimodality / multimodality	0.0119231652192522	0.8050	white	BRCA	1
MKKS	674	Hartigans' dip test for unimodality / multimodality	0.0122737151312773	0.7611	white	BRCA	1
MKL1	674	Hartigans' dip test for unimodality / multimodality	0.00933455857973001	0.9867	white	BRCA	1
MKL2	674	Hartigans' dip test for unimodality / multimodality	0.0101029489722627	0.9591	white	BRCA	1
MKLN1	674	Hartigans' dip test for unimodality / multimodality	0.0153889097387384	0.3600	white	BRCA	1
MKNK1	674	Hartigans' dip test for unimodality / multimodality	0.0106325178951816	0.9272	white	BRCA	1
MKNK2	674	Hartigans' dip test for unimodality / multimodality	0.00895965959307722	0.9909	white	BRCA	1
MKRN1	674	Hartigans' dip test for unimodality / multimodality	0.0142816060296181	0.4920	white	BRCA	1
MKRN2	674	Hartigans' dip test for unimodality / multimodality	0.0126037282952982	0.7187	white	BRCA	1
MKRN3	674	Hartigans' dip test for unimodality / multimodality	0.0504373977086922	0.0000	white	BRCA	0
MKS1	674	Hartigans' dip test for unimodality / multimodality	0.0110492781708134	0.8961	white	BRCA	1
MKX	674	Hartigans' dip test for unimodality / multimodality	0.00999481101478633	0.9638	white	BRCA	1
MLANA	674	Hartigans' dip test for unimodality / multimodality	0.0102653326502984	0.9521	white	BRCA	1
MLC1	674	Hartigans' dip test for unimodality / multimodality	0.0186996290409594	0.1115	white	BRCA	0.6809651240778002
MLEC	674	Hartigans' dip test for unimodality / multimodality	0.0122073857024378	0.7696	white	BRCA	1
MLF1	674	Hartigans' dip test for unimodality / multimodality	0.0123880983962877	0.7464	white	BRCA	1
MLF1IP	674	Hartigans' dip test for unimodality / multimodality	0.00975731469405378	0.9740	white	BRCA	1
MLF2	674	Hartigans' dip test for unimodality / multimodality	0.0143777677457967	0.4800	white	BRCA	1
MLH1	674	Hartigans' dip test for unimodality / multimodality	0.0126117465306134	0.7176	white	BRCA	1
MLH3	674	Hartigans' dip test for unimodality / multimodality	0.00890799996249482	0.9911	white	BRCA	1
MLIP	674	Hartigans' dip test for unimodality / multimodality	0.0400593471810089	0.0000	white	BRCA	0
MLK4	674	Hartigans' dip test for unimodality / multimodality	0.00867218391319504	0.9920	white	BRCA	1
MLKL	674	Hartigans' dip test for unimodality / multimodality	0.00923099392573013	0.9892	white	BRCA	1
MLLT1	674	Hartigans' dip test for unimodality / multimodality	0.00948318108660064	0.9832	white	BRCA	1
MLLT3	674	Hartigans' dip test for unimodality / multimodality	0.0079360508695834	0.9947	white	BRCA	1
MLLT4	674	Hartigans' dip test for unimodality / multimodality	0.0096434610472419	0.9789	white	BRCA	1
MLLT6	674	Hartigans' dip test for unimodality / multimodality	0.00899704778316011	0.9908	white	BRCA	1
MLLT10	674	Hartigans' dip test for unimodality / multimodality	0.0152982025609428	0.3699	white	BRCA	1
MLLT11	674	Hartigans' dip test for unimodality / multimodality	0.0117012189316038	0.8281	white	BRCA	1
MLNR	674	Hartigans' dip test for unimodality / multimodality	0.0556412014142207	0.0000	white	BRCA	0
MLPH	674	Hartigans' dip test for unimodality / multimodality	0.0102410742204686	0.9532	white	BRCA	1
MLST8	674	Hartigans' dip test for unimodality / multimodality	0.0112992039313433	0.8700	white	BRCA	1
MLTK	674	Hartigans' dip test for unimodality / multimodality	0.0110738832725117	0.8935	white	BRCA	1
MLX	674	Hartigans' dip test for unimodality / multimodality	0.0127918867928879	0.6941	white	BRCA	1
MLXIP	674	Hartigans' dip test for unimodality / multimodality	0.011567029875088	0.8421	white	BRCA	1
MLXIPL	674	Hartigans' dip test for unimodality / multimodality	0.00915486772394324	0.9902	white	BRCA	1
MLYCD	674	Hartigans' dip test for unimodality / multimodality	0.00964180603292388	0.9790	white	BRCA	1
MMAA	674	Hartigans' dip test for unimodality / multimodality	0.0123845087127425	0.7469	white	BRCA	1
MMAB	674	Hartigans' dip test for unimodality / multimodality	0.0104237124395983	0.9422	white	BRCA	1
MMACHC	674	Hartigans' dip test for unimodality / multimodality	0.0110482736621247	0.8962	white	BRCA	1
MMADHC	674	Hartigans' dip test for unimodality / multimodality	0.0127982596297403	0.6932	white	BRCA	1
MMD	674	Hartigans' dip test for unimodality / multimodality	0.011434679142597	0.8559	white	BRCA	1
MME	674	Hartigans' dip test for unimodality / multimodality	0.00816199583000192	0.9939	white	BRCA	1
MMEL1	674	Hartigans' dip test for unimodality / multimodality	0.0107662507194287	0.9176	white	BRCA	1
MMGT1	674	Hartigans' dip test for unimodality / multimodality	0.0112525740493438	0.8749	white	BRCA	1
MMP1	674	Hartigans' dip test for unimodality / multimodality	0.0127263929060884	0.7029	white	BRCA	1
MMP2	674	Hartigans' dip test for unimodality / multimodality	0.0105734738518791	0.9314	white	BRCA	1
MMP3	674	Hartigans' dip test for unimodality / multimodality	0.00927495989254311	0.9882	white	BRCA	1
MMP7	674	Hartigans' dip test for unimodality / multimodality	0.00761588363458977	0.9959	white	BRCA	1
MMP8	674	Hartigans' dip test for unimodality / multimodality	0.0479998177670126	0.0000	white	BRCA	0
MMP9	674	Hartigans' dip test for unimodality / multimodality	0.00934319838696207	0.9865	white	BRCA	1
MMP10	674	Hartigans' dip test for unimodality / multimodality	0.00930306873347618	0.9875	white	BRCA	1
MMP11	674	Hartigans' dip test for unimodality / multimodality	0.0155999921653766	0.3372	white	BRCA	1
MMP13	674	Hartigans' dip test for unimodality / multimodality	0.00875430807700646	0.9917	white	BRCA	1
MMP14	674	Hartigans' dip test for unimodality / multimodality	0.010002564583835	0.9634	white	BRCA	1
MMP15	674	Hartigans' dip test for unimodality / multimodality	0.0123264257761831	0.7543	white	BRCA	1
MMP16	674	Hartigans' dip test for unimodality / multimodality	0.00879189743731028	0.9915	white	BRCA	1
MMP17	674	Hartigans' dip test for unimodality / multimodality	0.00729909958356492	0.9971	white	BRCA	1
MMP19	674	Hartigans' dip test for unimodality / multimodality	0.0120658785569645	0.7878	white	BRCA	1
MMP20	674	Hartigans' dip test for unimodality / multimodality	0.0548731348381013	0.0000	white	BRCA	0
MMP21	674	Hartigans' dip test for unimodality / multimodality	0.0637982195845697	0.0000	white	BRCA	0
MMP23B	674	Hartigans' dip test for unimodality / multimodality	0.00872426172848173	0.9918	white	BRCA	1
MMP24	674	Hartigans' dip test for unimodality / multimodality	0.00853724460800943	0.9925	white	BRCA	1
MMP25	674	Hartigans' dip test for unimodality / multimodality	0.0094666409097751	0.9836	white	BRCA	1
MMP28	674	Hartigans' dip test for unimodality / multimodality	0.00954513059527052	0.9817	white	BRCA	1
MMRN1	674	Hartigans' dip test for unimodality / multimodality	0.0103047451854539	0.9504	white	BRCA	1
MMRN2	674	Hartigans' dip test for unimodality / multimodality	0.0102545592510611	0.9526	white	BRCA	1
MMS19	674	Hartigans' dip test for unimodality / multimodality	0.0147274537743993	0.4364	white	BRCA	1
MMS22L	674	Hartigans' dip test for unimodality / multimodality	0.00950111049049	0.9828	white	BRCA	1
MN1	674	Hartigans' dip test for unimodality / multimodality	0.00959004996861538	0.9807	white	BRCA	1
MNAT1	674	Hartigans' dip test for unimodality / multimodality	0.010519099237316	0.9353	white	BRCA	1
MND1	674	Hartigans' dip test for unimodality / multimodality	0.0101651466313081	0.9564	white	BRCA	1
MNDA	674	Hartigans' dip test for unimodality / multimodality	0.00885785894886827	0.9913	white	BRCA	1
MNS1	674	Hartigans' dip test for unimodality / multimodality	0.00986664317113732	0.9693	white	BRCA	1
MNT	674	Hartigans' dip test for unimodality / multimodality	0.0115643439480146	0.8424	white	BRCA	1
MNX1	674	Hartigans' dip test for unimodality / multimodality	0.0319789940988043	0.0000	white	BRCA	0
MOAP1	674	Hartigans' dip test for unimodality / multimodality	0.00816023738872404	0.9939	white	BRCA	1
MOB1A	674	Hartigans' dip test for unimodality / multimodality	0.0107600179850668	0.9180	white	BRCA	1
MOB1B	674	Hartigans' dip test for unimodality / multimodality	0.00949118650297482	0.9830	white	BRCA	1
MOB2	674	Hartigans' dip test for unimodality / multimodality	0.0135329327011346	0.5925	white	BRCA	1
MOB3A	674	Hartigans' dip test for unimodality / multimodality	0.010553137488602	0.9329	white	BRCA	1
MOB3B	674	Hartigans' dip test for unimodality / multimodality	0.0132112257891682	0.6365	white	BRCA	1
MOB3C	674	Hartigans' dip test for unimodality / multimodality	0.0127624369581637	0.6982	white	BRCA	1
MOB4	674	Hartigans' dip test for unimodality / multimodality	0.0103857566765579	0.9449	white	BRCA	1
MOBP	674	Hartigans' dip test for unimodality / multimodality	0.0771312300707332	0.0000	white	BRCA	0
MOCOS	674	Hartigans' dip test for unimodality / multimodality	0.0100081046777035	0.9632	white	BRCA	1
MOCS1	674	Hartigans' dip test for unimodality / multimodality	0.00919479608407095	0.9900	white	BRCA	1
MOCS2	674	Hartigans' dip test for unimodality / multimodality	0.0116654657845284	0.8318	white	BRCA	1
MOCS3	674	Hartigans' dip test for unimodality / multimodality	0.0102060395211439	0.9547	white	BRCA	1
MOG	674	Hartigans' dip test for unimodality / multimodality	0.0434598608147071	0.0000	white	BRCA	0
MOGAT1	674	Hartigans' dip test for unimodality / multimodality	0.0514212605492379	0.0000	white	BRCA	0
MOGAT2	674	Hartigans' dip test for unimodality / multimodality	0.0120818654891511	0.7858	white	BRCA	1
