Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
SV2B	97	Hartigans' dip test for unimodality / multimodality	0.0376332074098962	0.4177	white	Liver	1
SV2C	97	Hartigans' dip test for unimodality / multimodality	0.0971811418427908	0.0000	white	Liver	0
SVEP1	97	Hartigans' dip test for unimodality / multimodality	0.0358999803256433	0.5027	white	Liver	1
SVIL	97	Hartigans' dip test for unimodality / multimodality	0.0238287986848135	0.9836	white	Liver	1
SVIP	97	Hartigans' dip test for unimodality / multimodality	0.0347960666134142	0.5614	white	Liver	1
SVOP	97	Hartigans' dip test for unimodality / multimodality	0.0832956806202365	0.0000	white	Liver	0
SVOPL	97	Hartigans' dip test for unimodality / multimodality	0.0362856295197264	0.4836	white	Liver	1
SWAP70	97	Hartigans' dip test for unimodality / multimodality	0.0228010170136922	0.9905	white	Liver	1
SWI5	97	Hartigans' dip test for unimodality / multimodality	0.032548253474387	0.6820	white	Liver	1
SWSAP1	97	Hartigans' dip test for unimodality / multimodality	0.0265048593801607	0.9359	white	Liver	1
SWT1	97	Hartigans' dip test for unimodality / multimodality	0.0245024291029795	0.9753	white	Liver	1
SYAP1	97	Hartigans' dip test for unimodality / multimodality	0.0226100239771744	0.9908	white	Liver	1
SYBU	97	Hartigans' dip test for unimodality / multimodality	0.0274901096179929	0.9081	white	Liver	1
SYCE1	97	Hartigans' dip test for unimodality / multimodality	0.0379645314622281	0.4015	white	Liver	1
SYCE1L	97	Hartigans' dip test for unimodality / multimodality	0.0213743413624716	0.9927	white	Liver	1
SYCE2	97	Hartigans' dip test for unimodality / multimodality	0.0263842867577248	0.9393	white	Liver	1
SYCE3	97	Hartigans' dip test for unimodality / multimodality	0.0463917525773196	0.1314	white	Liver	1
SYCN	97	Hartigans' dip test for unimodality / multimodality	0.0787556715833124	1e-04	white	Liver	0.0024778231292517006
SYCP1	97	Hartigans' dip test for unimodality / multimodality	0.0583224099086212	0.0146	white	Liver	0.18659312280701754
SYCP2	97	Hartigans' dip test for unimodality / multimodality	0.026916622987535	0.9243	white	Liver	1
SYCP2L	97	Hartigans' dip test for unimodality / multimodality	0.0398124737840027	0.3229	white	Liver	1
SYCP3	97	Hartigans' dip test for unimodality / multimodality	0.0567010309278351	0.0196	white	Liver	0.22794074074074075
SYDE1	97	Hartigans' dip test for unimodality / multimodality	0.0265031931380691	0.9360	white	Liver	1
SYDE2	97	Hartigans' dip test for unimodality / multimodality	0.0264233695638568	0.9382	white	Liver	1
SYF2	97	Hartigans' dip test for unimodality / multimodality	0.0309305044341881	0.7644	white	Liver	1
SYK	97	Hartigans' dip test for unimodality / multimodality	0.0246919054253663	0.9721	white	Liver	1
SYMPK	97	Hartigans' dip test for unimodality / multimodality	0.0262414501108587	0.9434	white	Liver	1
SYN1	97	Hartigans' dip test for unimodality / multimodality	0.0304561810265907	0.7882	white	Liver	1
SYN3	97	Hartigans' dip test for unimodality / multimodality	0.0774091947854409	1e-04	white	Liver	0.0024778231292517006
SYNC	97	Hartigans' dip test for unimodality / multimodality	0.0205702977676488	0.9940	white	Liver	1
SYNCRIP	97	Hartigans' dip test for unimodality / multimodality	0.042644063101654	0.2226	white	Liver	1
SYNDIG1	97	Hartigans' dip test for unimodality / multimodality	0.0654676354315576	0.0030	white	Liver	0.04922162162162162
SYNDIG1L	97	Hartigans' dip test for unimodality / multimodality	0.0501518500208807	0.0708	white	Liver	0.6430970573566085
SYNE1	97	Hartigans' dip test for unimodality / multimodality	0.0238841902515289	0.9831	white	Liver	1
SYNE2	97	Hartigans' dip test for unimodality / multimodality	0.0291426497271751	0.8441	white	Liver	1
SYNE3	97	Hartigans' dip test for unimodality / multimodality	0.0291719048740388	0.8429	white	Liver	1
SYNE4	97	Hartigans' dip test for unimodality / multimodality	0.0337527912528125	0.6171	white	Liver	1
SYNGAP1	97	Hartigans' dip test for unimodality / multimodality	0.0267064334359525	0.9302	white	Liver	1
SYNGR1	97	Hartigans' dip test for unimodality / multimodality	0.0322666892860249	0.6972	white	Liver	1
SYNGR2	97	Hartigans' dip test for unimodality / multimodality	0.0301690158129201	0.8021	white	Liver	1
SYNGR3	97	Hartigans' dip test for unimodality / multimodality	0.0739172595851397	3e-04	white	Liver	0.006745185185185185
SYNGR4	97	Hartigans' dip test for unimodality / multimodality	0.100042416965335	0.0000	white	Liver	0
SYNJ1	97	Hartigans' dip test for unimodality / multimodality	0.0243005836553577	0.9787	white	Liver	1
SYNJ2	97	Hartigans' dip test for unimodality / multimodality	0.027087083327034	0.9195	white	Liver	1
SYNJ2BP	97	Hartigans' dip test for unimodality / multimodality	0.0301187174833965	0.8042	white	Liver	1
SYNM	97	Hartigans' dip test for unimodality / multimodality	0.0213499489414117	0.9928	white	Liver	1
SYNPO	97	Hartigans' dip test for unimodality / multimodality	0.0230648867012012	0.9901	white	Liver	1
SYNPO2	97	Hartigans' dip test for unimodality / multimodality	0.0253690424751872	0.9607	white	Liver	1
SYNPO2L	97	Hartigans' dip test for unimodality / multimodality	0.0756399982210835	2e-04	white	Liver	0.00473038961038961
SYNPR	97	Hartigans' dip test for unimodality / multimodality	0.023467060900093	0.9870	white	Liver	1
SYNRG	97	Hartigans' dip test for unimodality / multimodality	0.036086654034428	0.4933	white	Liver	1
SYP	97	Hartigans' dip test for unimodality / multimodality	0.0243924017090707	0.9771	white	Liver	1
SYPL1	97	Hartigans' dip test for unimodality / multimodality	0.0298447474120465	0.8154	white	Liver	1
SYPL2	97	Hartigans' dip test for unimodality / multimodality	0.0246207115725287	0.9733	white	Liver	1
SYS1	97	Hartigans' dip test for unimodality / multimodality	0.0217050104159127	0.9922	white	Liver	1
SYS1-DBNDD2	97	Hartigans' dip test for unimodality / multimodality	0.123711340206186	0.0000	white	Liver	0
SYT1	97	Hartigans' dip test for unimodality / multimodality	0.033616172491996	0.6245	white	Liver	1
SYT2	97	Hartigans' dip test for unimodality / multimodality	0.036342930393669	0.4808	white	Liver	1
SYT3	97	Hartigans' dip test for unimodality / multimodality	0.0391820554834392	0.3496	white	Liver	1
SYT4	97	Hartigans' dip test for unimodality / multimodality	0.0770637454917909	1e-04	white	Liver	0.0024778231292517006
SYT5	97	Hartigans' dip test for unimodality / multimodality	0.0329699091173364	0.6593	white	Liver	1
SYT6	97	Hartigans' dip test for unimodality / multimodality	0.0852087571162818	0.0000	white	Liver	0
SYT7	97	Hartigans' dip test for unimodality / multimodality	0.0358558746949595	0.5050	white	Liver	1
SYT8	97	Hartigans' dip test for unimodality / multimodality	0.0436898254715014	0.1916	white	Liver	1
SYT9	97	Hartigans' dip test for unimodality / multimodality	0.0222764173164146	0.9913	white	Liver	1
SYT11	97	Hartigans' dip test for unimodality / multimodality	0.0384139146729004	0.3823	white	Liver	1
SYT12	97	Hartigans' dip test for unimodality / multimodality	0.0218430714598809	0.9920	white	Liver	1
SYT13	97	Hartigans' dip test for unimodality / multimodality	0.038868195397449	0.3630	white	Liver	1
SYT14	97	Hartigans' dip test for unimodality / multimodality	0.0390946518359872	0.3534	white	Liver	1
SYT15	97	Hartigans' dip test for unimodality / multimodality	0.0253552130742502	0.9609	white	Liver	1
SYT17	97	Hartigans' dip test for unimodality / multimodality	0.0336886248775499	0.6205	white	Liver	1
SYTL1	97	Hartigans' dip test for unimodality / multimodality	0.0268113783377609	0.9273	white	Liver	1
SYTL2	97	Hartigans' dip test for unimodality / multimodality	0.044217001368623	0.1799	white	Liver	1
SYTL3	97	Hartigans' dip test for unimodality / multimodality	0.0189757371543845	0.9964	white	Liver	1
SYTL4	97	Hartigans' dip test for unimodality / multimodality	0.0434793503301185	0.1963	white	Liver	1
SYTL5	97	Hartigans' dip test for unimodality / multimodality	0.0255918162671127	0.9570	white	Liver	1
SYVN1	97	Hartigans' dip test for unimodality / multimodality	0.0288152506503454	0.8575	white	Liver	1
SZRD1	97	Hartigans' dip test for unimodality / multimodality	0.0377597400684196	0.4115	white	Liver	1
SZT2	97	Hartigans' dip test for unimodality / multimodality	0.0274802177610373	0.9083	white	Liver	1
TAAR1	97	Hartigans' dip test for unimodality / multimodality	0.0600567364466273	0.0096	white	Liver	0.12922039911308203
TAB1	97	Hartigans' dip test for unimodality / multimodality	0.0313935239371192	0.7412	white	Liver	1
TAB2	97	Hartigans' dip test for unimodality / multimodality	0.022336679695633	0.9913	white	Liver	1
TAB3	97	Hartigans' dip test for unimodality / multimodality	0.0316647547616933	0.7276	white	Liver	1
