Gene	pv_race	pv_gender	pv_condition	pv_age	Residual
AASDHPPT	0.0849180843751398	0.202529525787293	5.87645683126778e-137	0.050351713865393	137.937236989552
AASS	0.189312793579671	0.272586228592884	4.71956641399049e-184	0.317178926446078	1034.20032491209
AATF	0.0932425489785242	0.18080473202213	1.33674070189133e-39	0.00774782387098091	144.65052382155
AATK	0.358832458507461	0.556444885631655	1.09180913043913e-206	0.888053747549428	1598.27896942847
ABAT	4.85682476629234e-05	0.167414479417313	0	0.00599567495094981	925.648895989532
ABCA1	0.648677047096933	0.527531424609235	1.75978204366215e-116	0.869661317621184	752.591744238973
ABCA2	0.0193191984581434	0.947417810872299	5.14206496479922e-177	0.0104080100119523	552.598531653873
ABCA3	0.455224562531184	0.236163198117495	0	0.063672311813818	1606.06006686431
ABCA4	0.0832006103434781	0.000499199847215353	5.92171055791207e-96	0.121319793796847	2118.4742804445
ABCA5	0.00259053132605246	0.300587231011853	8.8517276688887e-118	0.000686726326704903	540.825285182583
ABCA6	0.0428113676237168	0.783390479403946	9.02918396224049e-164	3.60181872985374e-11	1505.16922884235
ABCA7	0.186021392420351	0.00397213651087743	1.23007719145574e-127	0.000609391778522786	879.097337585313
ABCA8	0.93929133373237	0.45388844123692	4.91303713268839e-20	1.03706045161486e-06	2040.64727243657
ABCA9	0.0625388629773539	0.200333558645898	1.33521724842894e-98	1.39432908932299e-06	1589.65584554441
ABCA10	0.928208485376167	0.303803109209707	6.83256315764783e-91	1.4764747670588e-12	1230.74542988547
ABCA12	0.85913600175443	0.738865878517506	1.29063327834021e-64	0.958353392231835	3094.52597632197
ABCA13	0.182935356486038	0.33771505996233	4.17412453016169e-188	0.0779015269864898	3558.63312140948
ABCB1	0.686603900794382	0.80963805085313	1.21186609086025e-278	0.32453835284313	1196.61240043495
ABCB4	0.670424524668557	0.0258817344806124	0	1.04328460996794e-06	1361.51146873829
ABCB5	0.486180309717217	0.128180251719769	2.3614506954607e-174	4.55610638472963e-21	1254.67837550882
ABCB6	0.703776193179938	0.0314644817167846	1.41301391981922e-200	0.0048030489666393	513.933590093475
ABCB7	0.377046150713379	5.14477395794307e-05	4.39847776691733e-33	0.944350004022555	119.759373476478
ABCB8	0.0392934451890468	0.289610837750757	3.3145793880317e-44	0.00726814440588252	200.510069728553
ABCB9	1.11418083955827e-05	0.653223005586161	4.6151770295794e-189	0.00566523789146461	450.780159420515
ABCB10	0.535856348520266	0.746903116329431	5.57781430564847e-67	0.170686033189941	165.287460191451
ABCB11	0.236823879349903	0.0632178450179748	0	0.00279326554020667	1512.29976899807
ABCC1	0.475401208724943	0.107304760111778	0	0.203386319466878	550.342587839507
ABCC2	0.838989762823369	0.0441172328370579	0	0.15689565897947	1604.45455868872
ABCC3	0.491353747592377	0.000384705106073729	6.27822683538471e-91	0.0078617388324603	3157.63333803805
ABCC4	0.0338549932195435	0.480665413679283	7.47186432636071e-280	0.00362716019688773	843.90540813408
ABCC5	0.226486095484941	4.72081588148255e-07	1.58916709050483e-318	0.0359201759023414	759.63724010963
ABCC6	0.00870990515834199	0.0724542328480627	0	3.48155452862175e-05	1440.11656180054
ABCC8	0.0156438618399752	0.0576394094013237	4.1685224892458e-156	0.792470020430826	2535.98693836357
ABCC9	0.114026888319174	0.0750003176177107	2.30820166038785e-88	0.0533612741115611	1934.41874153546
ABCC10	0.73045663177361	0.699920953053562	4.30576206934575e-223	2.54353312559122e-05	248.011806195888
ABCC11	0.434976275216274	0.436811182356135	1.3843418676112e-274	0.421556351485797	1060.32623862964
ABCC12	0.000310198459960057	0.0561803109242423	1.17495862784868e-63	0.971017137615531	567.244843050194
ABCD1	0.0129841389415309	0.0764970755513605	3.80780620551726e-46	0.281857885360357	525.524513698824
ABCD2	0.225285816591149	0.0324336418936198	9.49656561672998e-76	0.674622528848027	1037.99939128232
ABCD3	2.12624853104735e-06	4.20711504669067e-06	9.40036093745781e-193	1.69057910142801e-10	223.130755268497
ABCD4	0.00899559502814497	0.0438236083019152	4.93229000875085e-76	2.28704451457262e-15	206.177448326287
ABCE1	0.0110702127466111	0.637291421830782	3.60882267854419e-36	4.1415018657419e-06	195.978570695855
ABCF1	4.25511661369655e-05	0.232910335534882	3.24420012744941e-29	1.06848311205103e-12	116.013473053476
ABCF2	0.575559262345744	0.955187114762577	2.75576075669015e-183	5.79408293535052e-09	176.937945030538
