Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
NCOA5	89	Hartigans' dip test for unimodality / multimodality	0.0318215116506992	0.7806	white	Prostate	1
NCOA6	89	Hartigans' dip test for unimodality / multimodality	0.032806951583025	0.7330	white	Prostate	1
NCOA7	89	Hartigans' dip test for unimodality / multimodality	0.0270164912714077	0.9503	white	Prostate	1
NCOR1	89	Hartigans' dip test for unimodality / multimodality	0.0382711099280535	0.4578	white	Prostate	1
NCOR2	89	Hartigans' dip test for unimodality / multimodality	0.0224761249365526	0.9923	white	Prostate	1
NCR1	89	Hartigans' dip test for unimodality / multimodality	0.113281527279526	0.0000	white	Prostate	0
NCR3	89	Hartigans' dip test for unimodality / multimodality	0.0561797752808989	0.0359	white	Prostate	0.4789822710622711
NCR3LG1	89	Hartigans' dip test for unimodality / multimodality	0.0257108745384776	0.9714	white	Prostate	1
NCS1	89	Hartigans' dip test for unimodality / multimodality	0.0224692513241567	0.9923	white	Prostate	1
NCSTN	89	Hartigans' dip test for unimodality / multimodality	0.025113711051662	0.9806	white	Prostate	1
NDC1	89	Hartigans' dip test for unimodality / multimodality	0.0213267777759016	0.9940	white	Prostate	1
NDC80	89	Hartigans' dip test for unimodality / multimodality	0.0333805785542378	0.7053	white	Prostate	1
NDE1	89	Hartigans' dip test for unimodality / multimodality	0.0321268502740986	0.7659	white	Prostate	1
NDEL1	89	Hartigans' dip test for unimodality / multimodality	0.0334080204307597	0.7040	white	Prostate	1
NDFIP1	89	Hartigans' dip test for unimodality / multimodality	0.0326528473202798	0.7405	white	Prostate	1
NDFIP2	89	Hartigans' dip test for unimodality / multimodality	0.029700043686464	0.8676	white	Prostate	1
NDN	89	Hartigans' dip test for unimodality / multimodality	0.0311545312214378	0.8104	white	Prostate	1
NDNF	89	Hartigans' dip test for unimodality / multimodality	0.0364381519806963	0.5479	white	Prostate	1
NDNL2	89	Hartigans' dip test for unimodality / multimodality	0.0331917111518914	0.7144	white	Prostate	1
NDOR1	89	Hartigans' dip test for unimodality / multimodality	0.0418845496257071	0.3026	white	Prostate	1
NDP	89	Hartigans' dip test for unimodality / multimodality	0.0290654711490764	0.8925	white	Prostate	1
