Up_MW	Up_limma	Up_Intersection_All	Up_Only_MW	Up_Only_Limma	Dwn_MW	Dwn_limma	Dwn_Intersection_All	Dwn_Only_MW	Dwn_Only_Limma	Dwn_Limma
CCDC181	BEX1	CCDC181			BTBD16		HHLA2			CUBN
ACSM1	CKS1B	ACSM1			HTR1F		HRH2			TFF1
TUBB8	VTCN1	TUBB8			IL6		ANKRD22			KCNK9
CKS1B	FOXA3	CKS1B			OR51E1		KLRC4-KLRK1			PLA2G1B
GRIK5	SH3GL2	GRIK5			LPPR5		CXCL13			CABP1
C9orf173	INHA	C9orf173			IDO1		NEGR1			F8A1
KRT222	RAB25	KRT222			TMEM92		TGFBI			GZMK
SCGB2A1	TFCP2L1	SCGB2A1			IL20RB		IBSP			MME
SOSTDC1	C2orf54	SOSTDC1			COL10A1		PLA2G1B			CD36
KRT16	CCDC181	KRT16			ZMAT4		FMO2			TMEM91
ZACN	GRIK5	CAMK2B			PRIMA1		AC021218.2			BTBD16
CAMK2B	SOX8	CORO6			TMEM91		RP11-298I3.5			EBF2
CORO6	SV2B	FCGBP			HHLA2		EPHA3			KCNK17
FCGBP	KRT16	LECT1			HRH2		LGI4			IDO1
LECT1	WFDC2	GAL			ANKRD22		PTHLH			CASQ2
GAL	CAMK2B	SLC9A2			KLRC4-KLRK1		ACAN			IBSP
SLC9A2	FOXJ1	CTB-134H23.2			CXCL13		PCOLCE2			COL10A1
CTB-134H23.2	SLC9A2	PNMA6B			NEGR1		SLC5A12			CXCL13
PNMA6B	CNTN3	KCNIP1			TGFBI		SORCS3			OR51E1
KCNIP1	LYPD6B	CCDC78			IBSP		STON1-GTF2A1L			IL6
MYL3	GAL	PRR15			PLA2G1B		SEPT1			ANKRD22
CCDC78	SCGB2A1	AC110771.1			FMO2		PXDNL			KLRC4-KLRK1
PRR15	CCDC78	IGFALS			AC021218.2		GSTA1			PTHLH
AC110771.1	CORO6	AJAP1			RP11-298I3.5		LOX			CA9
IGFALS	LECT1	SLC29A2			EPHA3		CDCA2			HTR1F
AJAP1	C9orf173	SCXA			LGI4		CYP2J2			RP11-298I3.5
SLC29A2	CTB-134H23.2	WDR66			PTHLH		UGT3A1			LOX
SCXA	FCGBP	SLC16A11			FGG		PTGER3			LGI4
WDR66	PRR15	NUTM2A			ACAN		SPOCK1			HHLA2
SLC16A11	KCNIP1	LAMC2			PCOLCE2		OR2A4			LPPR5
NUTM2A	SPINK2	C15orf59			SLC5A12		PPP1R14D			EPHA3
LAMC2	GGT6	C4BPA			SORCS3		PLA2G12B			AC021218.2
C15orf59	LAMC2				STON1-GTF2A1L		HP			SEPT1
C4BPA	HAGHL				SEPT1		ADAM18			ACAN
	PNMA6B				PXDNL		TNFAIP6			SLC5A12
	ESRP1				GSTA1		CTB-186H2.3			HRH2
	C4BPA				LOX		CREB3L3			FMO2
	KRT222				CDCA2		C8orf22			SORCS3
	SOSTDC1				CYP2J2		FABP6			CYP4A22
	S100A5				UGT3A1		CD70			STON1-GTF2A1L
	IRX6				PTGER3		C1QL1			HP
	EHF				SPOCK1		HAPLN1			SPOCK1
	ALDH1A2				OR2A4		NPTX2			CDCA2
	BNC1				C5orf46		GSTA2			PCOLCE2
	TMEFF1				C10orf99		ARSE			PXDNL
	OMG				PPP1R14D					PLA2G12B
	SLC29A2				PLA2G12B					C8orf22
	SLC16A11				HP					PPP1R14D
	LCN10				ADAM18					OR2A4
	ADORA1				TNFAIP6					CYP2J2
	SCNN1A				CTB-186H2.3					GSTA1
	SLC38A8				CREB3L3					ADAM18
	IGFALS				C8orf22					PTGER3
	AJAP1				FABP6					PNMA6C
	LEFTY1				CD70					FABP6
	AC110771.1				C1QL1					SLC6A3
	CRYBB2				HAPLN1					C1QL1
	PRSS22				NPTX2					CD70
	WDR66				GSTA2					UGT3A1
	SVOPL				ARSE					TNFAIP6
	LMTK3									CREB3L3
	AC132192.1									NPTX2
	SLC13A3									CTB-186H2.3
	NUTM2A									HAPLN1
	C15orf59									GSTA2
	SCXA									ARSE
